id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_353a4a59d5eccd8f0ffe4e5d17e5ee49","353a4a59d5eccd8f0ffe4e5d17e5ee49","ディノスパーク帯広","帯広市白樺16条西2ドリームタウン白樺内","ドリームタウン白樺内","0155-38-2811","9:00～翌3:00","無し","42.91947724 143.174195"
"id_shop_68786b87f109492a2b6d8c56ae24ac68","68786b87f109492a2b6d8c56ae24ac68","タイトーFステーション盛岡南店","盛岡市津志田町2-1-77","国道4号線沿い、津志田交差点近く。","019-639-9185","10:00～24:00","無し","39.666626 141.157277"
"id_shop_7a63d9a6a36ac7a0e27af2606daacd9f","7a63d9a6a36ac7a0e27af2606daacd9f","タイトーステーション仙台ベガロポリス店","仙台市太白区西多賀5-24-1","国道286号沿い、JR長町駅より車で10分","022-307-3685","10:00～24:00","無し","38.2198309 140.8461206"
"id_shop_874719677a4d433259d033e7f2de26c7","874719677a4d433259d033e7f2de26c7","GAME BANK","仙台市泉区大沢2-5-4","東北自動車道 泉インター直ぐ","022-776-5677","9:00～24:00","無し","38.352801 140.877385"
"id_shop_61ab9402ef3b52689fcfcbc2bcf04976","61ab9402ef3b52689fcfcbc2bcf04976","ゲームコーナー東部","仙台市若林区六丁の目中町26-60","六丁目の交差点より多賀城方面へ向かい車で5分。産業通り沿い。","022-287-5880","9:00～24:00","無し","38.25101621 140.9438974"
"id_shop_c6a67fb6d2fd275c0e7060a09344964f","c6a67fb6d2fd275c0e7060a09344964f","スーパーノバ天童","天童市南町1-5-26","JR「天童駅」より車で10分。国道13号線を南下し国道沿い左側。","023-656-9370","10:00～24:00","無し","38.34302924 140.3739732"
"id_shop_8217051d78c617aee5598c43a05a8afd","8217051d78c617aee5598c43a05a8afd","ゲームスペースA-3","西白河郡西郷村豊作西15-16-17","新白河駅高原口より徒歩3分","0248-23-3421","10:00～24:00","無し","37.12433442 140.1824915"
"id_shop_dc2d248ebb8f944c7a671fb971881ad0","dc2d248ebb8f944c7a671fb971881ad0","AMジャムジャムつくば店","つくば市竹園1-9-2デイズタウンつくばB1F","つくば駅徒歩5分デイズタウンつくばB1F","029-863-3760","10:00～24:00","無休","36.07768145 140.1153322"
"id_shop_1af0afa210de42c1ecbd11ee32df6c65","1af0afa210de42c1ecbd11ee32df6c65","AMジャムジャム神栖店","神栖市神栖1-8-1","東関東自動車道:潮来I.Cから約10分","0299-90-0555","10:00～24:00","無し","35.89792811 140.6444633"
"id_shop_2a63bcb14f861dcbb9b9ec7c951f50a5","2a63bcb14f861dcbb9b9ec7c951f50a5","ドラマ足利店","足利市朝倉町244-1","東武伊勢崎線足利市駅より徒歩10分","0284-73-9559","10:00～24:00","無し","36.32220259 139.4503607"
"id_shop_edb06a690bfcfaa08a625124289bce7c","edb06a690bfcfaa08a625124289bce7c","群馬レジャーランド太田店","太田市西矢島町162-2","","0276-47-8030","一部24時間営業","無し","36.26802219 139.3761382"
"id_shop_d9781d1e3819d9ab817de8afa9c39580","d9781d1e3819d9ab817de8afa9c39580","群馬レジャーランド高崎駅東口店","高崎市江木町333-1高崎EXビル2F","JR高崎駅東口徒歩10分","027-330-3002","一部24時間営業","無し","36.32992086 139.0128661"
"id_shop_53de4d3b8bd7e4acca76b7caaacabb06","53de4d3b8bd7e4acca76b7caaacabb06","ウェアハウス三橋店","さいたま市西区三橋6-955-1","国道17号バイパス三橋六丁目交差点","048-795-8380","一部24時間営業","無し",""
