id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude,
"id_shop_7e54864ff724b8cad7bf622c70ea1352","7e54864ff724b8cad7bf622c70ea1352","ビックバン函館","函館市梁川町9-3パボッツ函館3F","五稜郭公園前駅から徒歩5分","0138-54-7100","10:00～24:00","","41.78900071 140.7444508",NEW
"id_shop_ce986afe7b3d8c4e85cb70c099a517ec","ce986afe7b3d8c4e85cb70c099a517ec","ラウンドワン函館店","函館市西桔梗町848-11","産業道路 西桔梗町 函館中央自動車学校様隣","0138-49-8401","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","",NEW
"id_shop_421dece59238718c4dd4f33baa3b7b82","421dece59238718c4dd4f33baa3b7b82","GiGOスーパーセンタートライアル上磯","北斗市七重浜7-14-1スーパーセンタートライアル上磯1F","","080-7442-0075","月曜～木曜10:00～20:00 / 金曜10:00～22:00 / 土日祝9:00～22:00","無し","41.820743 140.696058",NEW
"id_shop_5e1f39b0c16c2b616bd07b4b24d4abac","5e1f39b0c16c2b616bd07b4b24d4abac","ビックバン北見","北見市中央三輪7-446-1","","0157-36-9190","","無し","43.796167 143.850753",NEW
"id_shop_f21a05c7b71feb4159d619675597dcb5","f21a05c7b71feb4159d619675597dcb5","タイトーステーション千歳店","千歳市北栄2-12-5","千歳駅から札幌方面に徒歩10分","0123-42-4195","10:00-24:00","無し","42.833396 141.6439587",NEW
"id_shop_fb6a5e14d3fab68d345b777ac44e531e","fb6a5e14d3fab68d345b777ac44e531e","ビッグ･バン室蘭","室蘭市中島本町2-8-1","ショッピングセンターモルエ(MORUE)中島 側","0143-44-5222","10:00～24:00","無し","42.35370861 141.014187",NEW
"id_shop_b1aab9e72a53b34ffabbdb7cd214af0d","b1aab9e72a53b34ffabbdb7cd214af0d","遊ランド富良野店","富良野市弥生町5-50","富良野駅徒歩10分","0167-39-0123","13:00～翌1:00","無し","43.34423305 142.3786409",NEW
"id_shop_eb1ac2a6427be9de2ab666378b52db94","eb1ac2a6427be9de2ab666378b52db94","ファンタジープラザ西帯広店","帯広市西21条南4-1MEGAドンキホーテ西帯広店2F","","0155-41-8940","","","42.91189058 143.1437886",NEW
"id_shop_c2edbf167ab4012e141361d9ed75239d","c2edbf167ab4012e141361d9ed75239d","カラオケルームキャッツアイ恵庭店","恵庭市住吉町2-9-1","JR恵庭駅下車徒歩20分","0123-32-1500","10:00～24:00","無し","42.87586684 141.5834741",NEW
"id_shop_7e18dc21a90f7bdf0cacfb602211066f","7e18dc21a90f7bdf0cacfb602211066f","キャッツアイ静内店","日高郡新ひだか町静内木場町2-1-41","","0146-43-0888","10:00～24:00","","42.341483 142.354614",NEW
"id_shop_d09699e20526b401db16ca2e44416644","d09699e20526b401db16ca2e44416644","遊ランド春光店","旭川市春光1条7-2-25","JR旭川駅車20分","0166-55-3355","11:00～翌4:00","無し","43.798192 142.373983",NEW
"id_shop_8bca737af6c3cb0eeff2a69403329f86","8bca737af6c3cb0eeff2a69403329f86","ラウンドワン旭川店","旭川市永山3条1-4-7","国道39号 永山3条1丁目","0166-49-5071","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","",NEW
"id_shop_416cb791a9d1e95eb6bd292cfb4be445","416cb791a9d1e95eb6bd292cfb4be445","遊ランド西御料店","旭川市西御料5条2-64-19","旭川環状線1号から美瑛・富良野方面へお進み下さいませ","0166-60-5050","平日12:00～翌3:00 金・土・祝前日11:00～翌5:00","無し","43.723884 142.368924",NEW
"id_shop_b8c2d2d06b5f9473b61bd91f4a16e769","b8c2d2d06b5f9473b61bd91f4a16e769","タイトーステーション札幌狸小路2丁目店","札幌市中央区南三条西2-14ニコービル","","011-213-1115","","","43.05729 141.355525",NEW
