id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_7e54864ff724b8cad7bf622c70ea1352","7e54864ff724b8cad7bf622c70ea1352","ビックバン函館","函館市梁川町9-3パボッツ函館3F","五稜郭公園前駅から徒歩5分","0138-54-7100","10:00～24:00","","41.78900071 140.7444508"
"id_shop_ce986afe7b3d8c4e85cb70c099a517ec","ce986afe7b3d8c4e85cb70c099a517ec","ラウンドワン函館店","函館市西桔梗町848-11","産業道路 西桔梗町 函館中央自動車学校様隣","0138-49-8401","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_421dece59238718c4dd4f33baa3b7b82","421dece59238718c4dd4f33baa3b7b82","GiGOスーパーセンタートライアル上磯","北斗市七重浜7-14-1スーパーセンタートライアル上磯1F","","080-7442-0075","月曜～木曜10:00～20:00 / 金曜10:00～22:00 / 土日祝9:00～22:00","無し","41.820743 140.696058"
"id_shop_5e1f39b0c16c2b616bd07b4b24d4abac","5e1f39b0c16c2b616bd07b4b24d4abac","ビックバン北見","北見市中央三輪7-446-1","","0157-36-9190","","無し","43.796167 143.850753"
"id_shop_cda8cddd4c62b131fb0fd872ef64733b","cda8cddd4c62b131fb0fd872ef64733b","GiGO北見","北見市西三輪5-1-16","国道39号 大雪大通沿い","080-7437-9057","10:00～24:00","無し","43.79655355 143.8426866"
"id_shop_f21a05c7b71feb4159d619675597dcb5","f21a05c7b71feb4159d619675597dcb5","タイトーステーション千歳店","千歳市北栄2-12-5","千歳駅から札幌方面に徒歩10分","0123-42-4195","10:00-24:00","無し","42.833396 141.6439587"
"id_shop_3b2d48a85049f90a2b2de33f917ed5da","3b2d48a85049f90a2b2de33f917ed5da","アピナ新千歳空港店","千歳市美々1新千歳空港(国内線)旅客ターミナルビル4F","新千歳空港内4F","0123-25-9958","10:00～22:00","無し","42.787433 141.680374"
"id_shop_fb6a5e14d3fab68d345b777ac44e531e","fb6a5e14d3fab68d345b777ac44e531e","ビッグ･バン室蘭","室蘭市中島本町2-8-1","ショッピングセンターモルエ(MORUE)中島 側","0143-44-5222","10:00～24:00","無し","42.35370861 141.014187"
"id_shop_3406b6f43c2b87c3b06e423b44507ffd","3406b6f43c2b87c3b06e423b44507ffd","GiGO室蘭","室蘭市東町4-31-3","JR東室蘭駅下車徒歩15分","080-7434-6759","10:00～24:00","無し","42.34253462 141.026287"
"id_shop_353a4a59d5eccd8f0ffe4e5d17e5ee49","353a4a59d5eccd8f0ffe4e5d17e5ee49","GiGOドリームタウン白樺","帯広市白樺16条西2ドリームタウン白樺内","ドリームタウン白樺内","080-7422-4566","9:00～翌3:00","無し","42.91947724 143.174195"
