id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_a653d257079fbce7e8d6596e1bbc4e5a","a653d257079fbce7e8d6596e1bbc4e5a","ラウンドワン札幌すすきの店","札幌市中央区南五条西3-6-1札幌東宝公楽ビル","札幌市営地下鉄「すすきの駅」「豊水すすきの駅」より徒歩約2分","011-520-1022","6:00～23:50","無し","43.05431311 141.3540587"
"id_shop_b61d109b6b4301a5c9ba5d5c01b24a6c","b61d109b6b4301a5c9ba5d5c01b24a6c","カラオケルームキャッツアイ新札幌店","札幌市厚別区厚別東5条1-2-10","JR、札幌市営地下鉄新札幌駅下車徒歩20分","011-899-1500","10:00～24:00","無し","43.04493545 141.4754191"
"id_shop_b83456d708c4830eaba66358a59f3ded","b83456d708c4830eaba66358a59f3ded","GiGOイオンモール苫小牧","苫小牧市柳町3-1-20イオンモール苫小牧2F","JR苫小牧駅よりバス20分","0144-52-1212","ゲームコーナー9:00～24:00 / メダルコーナー9:00～23:30","無し","42.65619751 141.6419704"
"id_shop_f857152de32c6da3f2deb458963e593c","f857152de32c6da3f2deb458963e593c","ラウンドワン青森店","青森市浜田3-1-1","青森自動車道 青森中央IC下車 浜田ドリームタウンアリー内","017-762-3591","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","40.79867718 140.7483213"
"id_shop_4849b02f89f69504e072941c1aa5dd5b","4849b02f89f69504e072941c1aa5dd5b","GiGOイオン仙台中山","仙台市泉区南中山1-35-57イオン仙台中山店別館3F","","022-347-3139","","","38.299061 140.828497"
"id_shop_c6a67fb6d2fd275c0e7060a09344964f","c6a67fb6d2fd275c0e7060a09344964f","GiGO天童","天童市南町1-5-26","JR「天童駅」より車で10分。国道13号線を南下し国道沿い左側。","023-656-9370","10:00～24:00","無し","38.34302924 140.3739732"
"id_shop_ef43a3896e5b090224f9bedfe8b3c86e","ef43a3896e5b090224f9bedfe8b3c86e","GiGO会津若松","会津若松市町北町上荒久田字宮下142","磐越道会津若松IC側","0242-37-0777","9:00～24:00","無し","37.51832577 139.9222191"
"id_shop_d21677e768a7b68c6f501b3d840ffea1","d21677e768a7b68c6f501b3d840ffea1","ラウンドワン福島店","福島市太田町14-18","福島駅前 西口すぐ","024-525-4731","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","37.75259469 140.4562354"
"id_shop_84ad0c511b9885beb9fea9b9a2335a8d","84ad0c511b9885beb9fea9b9a2335a8d","ラウンドワン郡山店","郡山市向河原町4-55","JR郡山駅東側(西口よりJRをくぐり約10分)","024-941-3191","10:00～24:00","無し","37.40229903 140.3957065"
"id_shop_b87618a0bded87615e2d0b2e2b1bf52e","b87618a0bded87615e2d0b2e2b1bf52e","ゲームパニックつくば","土浦市中村東1-1-1","","080-3350-1839","","","36.04632758 140.1679958"
"id_shop_0390231c20f98cc6f32930f3bcd36381","0390231c20f98cc6f32930f3bcd36381","ラウンドワン宇都宮店","宇都宮市江曽島町2072-1","宇都宮4号線 西原町・簗瀬ドンキホーテ様 西側","028-614-8171","平日10:00～23:50 土日祝6:00～23:50","無し","36.54080987 139.8868656"
"id_shop_59cc97a331a2f5c08a084a7162c584fe","59cc97a331a2f5c08a084a7162c584fe","アピナ小山店","小山市駅南町4-27-18","国道50号線沿い駅南町交差点","0285-31-0050","10:00～24:00","無し","36.300419 139.809126"
"id_shop_bb932039e926657cbd80ab7888da8b9d","bb932039e926657cbd80ab7888da8b9d","GiGOスマーク伊勢崎","伊勢崎市西小保方町368スマーク伊勢崎3F302区画","","0270-62-3886","","","36.339538 139.231968"
