id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_419e00954b9c358893e8041bb425d517","419e00954b9c358893e8041bb425d517","テクノワールド","奥州市江刺愛宕梁川127-1","","0197-47-3619","店舗にてご確認ください","無し","39.179225 141.162155"
"id_shop_61ab9402ef3b52689fcfcbc2bcf04976","61ab9402ef3b52689fcfcbc2bcf04976","ゲームコーナー東部","仙台市若林区六丁の目中町26-60","六丁目の交差点より多賀城方面へ向かい車で5分。産業通り沿い。","022-287-5880","9:00～24:00","無し","38.25101621 140.9438974"
"id_shop_dc2d248ebb8f944c7a671fb971881ad0","dc2d248ebb8f944c7a671fb971881ad0","GiGOデイズタウンつくば","つくば市竹園1-9-2デイズタウンつくばB1F","つくば駅徒歩5分デイズタウンつくばB1F","070-1459-0875","10:00～24:00","無休","36.07768145 140.1153322"
"id_shop_b0b39de4dbd80621f193a172955b5c37","b0b39de4dbd80621f193a172955b5c37","ラウンドワンさいたま･鴻巣店","鴻巣市箕田3163-7","国道17号「箕田」交差点東","048-595-2001","10:00～24:00","無し","36.08064011 139.4902201"
"id_shop_bee924875cf983ee6bd17fd8020c5f55","bee924875cf983ee6bd17fd8020c5f55","タイトーステーションBIGBOX高田馬場","新宿区高田馬場1-35-3BIGBOX6F","西武新宿線・高田馬場駅より徒歩1分","03-5272-9855","10:00～24:00","無し","35.712933 139.70419"
"id_shop_361118b9ebaffa64042fe3bae977ec6b","361118b9ebaffa64042fe3bae977ec6b","神奈川レジャーランド厚木店","厚木市戸室5-31-1","小田急本厚木駅よりバスにてアンリツ前バス停下車徒歩1分","046-297-0503","一部24時間営業","無し","35.44802433 139.3431365"
"id_shop_df9ba4be42cf2849d7ec70bfac406fa1","df9ba4be42cf2849d7ec70bfac406fa1","アピナ松本","松本市双葉19-10","国道19号線沿い、イトーヨーカドーそば","0263-24-1133","10:00～24:00","無し","36.21052692 137.9610526"
"id_shop_f852b1a34b497551da78028773e1f70a","f852b1a34b497551da78028773e1f70a","アピナ飯田店","飯田市座光寺3728-1","国道153号線座光寺交差点近く","026-559-7711","10:00～24:00","無し","35.52993571 137.8596325"
"id_shop_ea60f260ddbf102b30d8ac14a2fb95d1","ea60f260ddbf102b30d8ac14a2fb95d1","タイトーステーションフェドラ大須店","名古屋市中区大須3-30-31萬松寺駐車場ビル1F･2F","地下鉄名城線上前津駅より徒歩1分","052-242-2011","10:00～24:00","無し","35.15945319 136.9054236"
"id_shop_86858cd9cbb83eecd6b5d045294778db","86858cd9cbb83eecd6b5d045294778db","アピナ四日市店","四日市市泊小柳町4-34","","059-349-5011","","","34.94000426 136.6070666"
"id_shop_9a98566a62906b3669036d1cd24b2f08","9a98566a62906b3669036d1cd24b2f08","アピナ姫路店","姫路市東郷町1454-3姫路リオス2F","","079-222-8811","","","34.82687 134.7151"
"id_shop_5acb6eba6b9a10c641f4109c437f93b1","5acb6eba6b9a10c641f4109c437f93b1","PALO松江","松江市東朝日町151イオン松江店3F","","070-3100-4323","","","35.4639773 133.0683985"
"id_shop_50eec918bc96cd07c7d3defc8762a67a","50eec918bc96cd07c7d3defc8762a67a","PALO防府","防府市中央町1-3イオン防府店3F","","070-3100-3731","","","34.0522015 131.5685841"
"id_shop_4a20bec33ef5176bdb8c79591abc1915","4a20bec33ef5176bdb8c79591abc1915","楽市楽座黒崎店","北九州市八幡西区桜ヶ丘町1-3フレスポ黒崎2F","JR黒崎駅近く国道3号線沿い","093-621-4800","10:00～24:00","無し","33.86569306 130.7560829"
"id_shop_dd39f1bfe7881e64886d88c76b577d0b","dd39f1bfe7881e64886d88c76b577d0b","楽市街道箱崎店2F","福岡市東区箱崎5-1-8楽市街道箱崎店内2F","","092-642-0760","10:00～27:00","無し","33.62410817 130.4195897"
"id_shop_c27d9980bb7d0f22e04a74e16a2ec87a","c27d9980bb7d0f22e04a74e16a2ec87a","ゲームランドジョイジャングル美浜店","中頭郡北谷町美浜15-68ドラゴンパレス2F","カーニバルパーク観覧車横","098-988-7377","10:00～24:00","無し","26.3173839 127.7572941"
"id_shop_d51167e5454149cd59bfa8b86997ac21","d51167e5454149cd59bfa8b86997ac21","モーリーファンタジー那覇","那覇市金城5-10-2イオン3F","モノレール 小禄駅 正面 ジャスコ那覇店内3F","070-3100-5314","10:00～22:00","無し","26.19689585 127.6658336"
