name,address,loc_id,latitude&longitude
"namcoアリオ札幌","北海道 札幌市東区 北七条東 9-2-20　アリオ札幌スパ・レジャー館2F　233区画","TR_S4teph_5LG3fehiutMg","43.07117 141.370255"
"東急百貨店さっぽろアミューズパーク","北海道 札幌市中央区 北四条西 2-1　東急百貨店さっぽろ店9F","LhpJz81E2AwOJEYNWzD0yg","43.067552 141.352709"
"ラウンドワン札幌すすきの","北海道 札幌市中央区 南五条西 3-6-1","DEcah2oynr8vD325wTaU9A","43.054536 141.354524"
"namcoウイングベイ小樽","北海道 小樽市 築港 11-5　ウイングベイ小樽5番街2・3F","PIfWgXto_lsSRv9nyeo1WQ","43.183941 141.02231"
"namcoサッポロファクトリー","北海道 札幌市中央区 北一条東 4-1-1　サッポロファクトリー1条館内","BRY3aHCKND2WsyqpVZ-xEg","43.064303 141.363013"
"タイトーステーション札幌狸小路4丁目","北海道 札幌市中央区 南二条西 4-2-11","ROhlsMBfvkCdeWKkO6RwVA","43.057355 141.35231"
"ゲームランド新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-7　新さっぽろアークシティ　カテプリ新さっぽろ3F","vjFsQO-W_EKqzoDeiiCykg","43.037441 141.472478"
"キャッツアイ新札幌","北海道 札幌市厚別区 厚別東五条 1　ホーマックスーパーデポ厚別東店横","JUZEMwMT_gsRUleEjU5IVQ","43.045268 141.475797"
"namcoラソラ札幌","北海道 札幌市白石区 東札幌三条 1-1-1　ラソラ札幌Atown 2F","ExtKoviQ6OKW3FfKFyf0lw","43.054045 141.383411"
"ソユーゲームフィールド旭川駅前","北海道 旭川市 宮下通 7-2-5　イオンモール旭川駅前4F","tCZEbuhu-jhGRhKMXYGniA","43.764006 142.357115"
"HapipiLand旭川","北海道 旭川市 永山十二条 3　ウェスタンパワーズ2F","hjXt1HuOGh6-daBAl8ASgw","43.778433 142.412167"
"ファンタジープラザ西帯広","北海道 帯広市 西二十一条南 4-1　MEGAドン・キホーテ西帯広店2F","sH1_zQqeUIZC3pr5TfcKrA","42.91209 143.143842"
"キャッツアイ苫小牧駅前","北海道 苫小牧市 木場町 1-3","0IK3bKfL2v_auvhqGFwS0g","42.64178 141.598406"
"GiGO BOWLイオンモール苫小牧","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧2F","tKjDckUbqUKtpf7znHkQ3A","42.655742 141.64089"
"キッズパーク イオン千歳","北海道 千歳市 栄町 6-51　イオン千歳店2F","AMNtOglmeRK3lKVqzUzDgQ","42.828856 141.648096"
"モーリーファンタジー札幌桑園","北海道 札幌市中央区 北八条西 14-28　イオン札幌桑園SC　イオン札幌桑園店2F","1gIHyDy2u1bYWbcz9BmF3w","43.069389 141.333224"
"タイトーステーション札幌狸小路2丁目","北海道 札幌市中央区 南三条 西2-14　ニコービル","tgNdKGtqlA5hY25gmz9oNQ","43.057336 141.355453"
"モーリーファンタジー札幌麻生","北海道 札幌市北区 北三十九条西 4-1-5　イオン札幌麻生店4F","u6fIp7VCdnAbl5uhSOj1Kw","43.107259 141.339671"
"GiGO 札幌駅西口","北海道 札幌市北区 北六条西 6　JR高架下","H57iUkDJXydOoqQFnN4QYQ","43.067531 141.34628"
"グルグルイトーヨーカドー屯田","北海道 札幌市北区 屯田八条 3-5-1　イトーヨーカドー屯田店2F","0PNuRwWzxFSDbmZvwbmr3g","43.140227 141.340922"
