id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_ce986afe7b3d8c4e85cb70c099a517ec","ce986afe7b3d8c4e85cb70c099a517ec","ラウンドワン函館店","函館市西桔梗町848-11","産業道路 西桔梗町 函館中央自動車学校様隣","0138-49-8401","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_0e0bda6fa588ebb659f7b98768669f3f","0e0bda6fa588ebb659f7b98768669f3f","アミューズメントスペース遊ランド士別店","士別市大通り東8","士別駅徒歩10分","0165-29-2828","12:00～翌2:00","無し","44.173913 142.394292"
"id_shop_b1aab9e72a53b34ffabbdb7cd214af0d","b1aab9e72a53b34ffabbdb7cd214af0d","遊ランド富良野店","富良野市弥生町5-50","富良野駅徒歩10分","0167-39-0123","13:00～翌1:00","無し","43.34423305 142.3786409"
"id_shop_d09699e20526b401db16ca2e44416644","d09699e20526b401db16ca2e44416644","遊ランド春光店","旭川市春光1条7-2-25","JR旭川駅車20分","0166-55-3355","11:00～翌4:00","無し","43.798192 142.373983"
"id_shop_8bca737af6c3cb0eeff2a69403329f86","8bca737af6c3cb0eeff2a69403329f86","ラウンドワン旭川店","旭川市永山3条1-4-7","国道39号 永山3条1丁目","0166-49-5071","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_416cb791a9d1e95eb6bd292cfb4be445","416cb791a9d1e95eb6bd292cfb4be445","遊ランド旭川店","旭川市西御料5条2-64-19","旭川環状線1号から美瑛・富良野方面へお進み下さいませ","0166-60-5050","平日12:00～翌3:00 金・土・祝前日11:00～翌5:00","無し","43.723884 142.368924"
"id_shop_a653d257079fbce7e8d6596e1bbc4e5a","a653d257079fbce7e8d6596e1bbc4e5a","ラウンドワン札幌すすきの店","札幌市中央区南五条西3-6-1札幌東宝公楽ビル","札幌市営地下鉄「すすきの駅」「豊水すすきの駅」より徒歩約2分","011-520-1022","6:00～23:50","無し","43.05431311 141.3540587"
"id_shop_d8e76ce0023e0618a16c6dddef77cfef","d8e76ce0023e0618a16c6dddef77cfef","MAXIM HERO","札幌市北区北6条西6-1-1","","011-219-2855","","",""
"id_shop_de967e1a41eac5fe2fdab8175c2c02be","de967e1a41eac5fe2fdab8175c2c02be","ラウンドワン札幌北21条店","札幌市東区北21条東1-1-21","[市営地下鉄南北線 北24条駅] 南北線北24条駅2番出口より北24条通り東へ430m。創成川通り(石狩街道)を東へ470m  徒歩約15分","011-733-8801","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","43.08681907 141.3495671"
"id_shop_3c6777c2d90eca527854deba4ab6adb6","3c6777c2d90eca527854deba4ab6adb6","ラウンドワン札幌白石本通店","札幌市白石区本通-16-北1-50","札幌市営地下鉄東西線「南郷18丁目」駅より徒歩約10分","011-865-8051","10:00～24:00","無し",""
"id_shop_4cf50d6440cafda84b960a8159d61d89","4cf50d6440cafda84b960a8159d61d89","ユーズランド下田店","上北郡おいらせ町中野平40-1イオンモール下田1F","イオン下田SC1・2FJR下田駅よりバスで10分八戸市より車で約15km、三沢市より車で約15km","0178-50-3237","10:00～22:00","無し","40.60188383 141.4176032"
