name,address,loc_id,latitude&longitude,pcb_count
"ラウンドワン札幌すすきの","北海道 札幌市中央区 南五条西 3-6-1","DEcah2oynr8vD325wTaU9A","","","5"
"東急百貨店さっぽろアミューズパーク","北海道 札幌市中央区 北四条西 2-1　東急百貨店さっぽろ店9F","LhpJz81E2AwOJEYNWzD0yg","","","4"
"namcoアリオ札幌","北海道 札幌市東区 北七条東 9-2-20　アリオ札幌スパ・レジャー館2F　233区画","TR_S4teph_5LG3fehiutMg","","","4"
"ラウンドワンスタジアム札幌北21条","北海道 札幌市東区 北二十一条東 1-1-21","FRVHpQMTAClhOqqm7Xsoyg","","","4"
"namcoウイングベイ小樽","北海道 小樽市 築港 11-5　ウイングベイ小樽5番街2・3F","PIfWgXto_lsSRv9nyeo1WQ","","","4"
"namcoサッポロファクトリー","北海道 札幌市中央区 北一条東 4-1-1　サッポロファクトリー1条館内","BRY3aHCKND2WsyqpVZ-xEg","","","3"
"GiGO すすきの","北海道 札幌市中央区 南三条西 4-1-1","uJxQzTNrrdriiRrd32lFow","","","3"
"タイトーステーション札幌狸小路4丁目","北海道 札幌市中央区 南二条西 4-2-11","ROhlsMBfvkCdeWKkO6RwVA","","","3"
"キャッツアイ新川","北海道 札幌市北区 新川二条 7-1-7","9dmK49ay3c7RIMpk-bBIiw","","","3"
"キャッツアイ篠路","北海道 札幌市北区 篠路一条 4-6-30","33DTOzj56Wb2izvCHfVmig","","","3"
"ゲームランド新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-7　新さっぽろアークシティ　カテプリ新さっぽろ3F","vjFsQO-W_EKqzoDeiiCykg","","","3"
"キャッツアイ新札幌","北海道 札幌市厚別区 厚別東五条 1　ホーマックスーパーデポ厚別東店横","JUZEMwMT_gsRUleEjU5IVQ","","","3"
"GiGO イオン札幌手稲駅前ショッピングセンター","北海道 札幌市手稲区 前田一条 11　イオン札幌手稲駅前SC3F","CAmHkgAgtF5dCI2-sk82TQ","","","3"
"キャッツアイ清田","北海道 札幌市清田区 清田一条 1-20-1","hzWMFmJ3s3CoA1QAK-ThLA","","","3"
"ラウンドワンスタジアム札幌・白石本通","北海道 札幌市白石区 本通 16-北1-50","aMdTukaIq7whaUbaJhnUPw","","","3"
"namcoラソラ札幌","北海道 札幌市白石区 東札幌三条 1-1-1　ラソラ札幌Atown 2F","ExtKoviQ6OKW3FfKFyf0lw","","","3"
"ラウンドワンスタジアム函館","北海道 函館市 西桔梗町 848-11","TZAv1Nmcw3ocBewGVGXf0Q","","","3"
"ソユーゲームフィールド旭川駅前","北海道 旭川市 宮下通 7-2-5　イオンモール旭川駅前4F","tCZEbuhu-jhGRhKMXYGniA","","","3"
"ラウンドワンスタジアム旭川","北海道 旭川市 永山三条 1-4-7","_xdOEjTFE2umwHG2jRUxhw","","","3"
"ファンタジープラザ西帯広","北海道 帯広市 西二十一条南 4-1　MEGAドン・キホーテ西帯広店2F","sH1_zQqeUIZC3pr5TfcKrA","","","3"
"キャッツアイ苫小牧駅前","北海道 苫小牧市 木場町 1-3","0IK3bKfL2v_auvhqGFwS0g","","","3"
"GiGO BOWLイオンモール苫小牧","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧2F","tKjDckUbqUKtpf7znHkQ3A","","","3"
"タイトーFステーションイオン千歳","北海道 千歳市 栄町 6-51　イオン千歳店2F","AMNtOglmeRK3lKVqzUzDgQ","","","3"
"モーリーファンタジー札幌桑園","北海道 札幌市中央区 北八条西 14-28　イオン札幌桑園SC　イオン札幌桑園店2F","1gIHyDy2u1bYWbcz9BmF3w","","","2"
"タイトーステーション札幌狸小路2丁目","北海道 札幌市中央区 南三条 西2-14　ニコービル","tgNdKGtqlA5hY25gmz9oNQ","","","2"
"モーリーファンタジー札幌麻生","北海道 札幌市北区 北三十九条西 4-1-5　イオン札幌麻生店4F","u6fIp7VCdnAbl5uhSOj1Kw","","","2"
"GiGO 札幌駅西口","北海道 札幌市北区 北六条西 6　JR高架下","H57iUkDJXydOoqQFnN4QYQ","","","2"
"グルグルイトーヨーカドー屯田","北海道 札幌市北区 屯田八条 3-5-1　イトーヨーカドー屯田店2F","0PNuRwWzxFSDbmZvwbmr3g","","","2"
"げーむぱーくぎゃらくしー西友厚別","北海道 札幌市厚別区 厚別西四条 6-700-126　西友厚別店2F","2j3MgbwKz51GWLQaVc-fnA","","","2"
"モーリーファンタジー手稲山口","北海道 札幌市手稲区 明日風 6-1-1　イオン札幌手稲山口SC　イオンスーパーセンター手稲山口店1F","5Bj45h9DGzkcrbnEsUUjeA","","","2"
"キャッツアイ宮の沢","北海道 札幌市手稲区 西宮の沢五条 2-11-15","oEw6stYrCEqfRdwtKPiNPg","","","2"
"モーリーファンタジー札幌元町","北海道 札幌市東区 北三十一条東 15-1-1　イオン札幌元町SC　イオン札幌元町店3F","PUMB3G1XYdvUSxFptA3ppA","","","2"
"アドアーズ札幌北42条","北海道 札幌市東区 北四十二条東 7-1-1　ドン・キホーテ北42条店2F","WPMRbdk-NXkwkyFw5mLNsw","","","2"
"ソユーゲームフィールド札幌苗穂","北海道 札幌市東区 東苗穂二条 3-1-1　イオンモール札幌苗穂2F","1iCoQV6-n2TD_HyVDOmkkA","","","2"
"モーリーファンタジー札幌苗穂","北海道 札幌市東区 東苗穂二条 3-1-1　イオンモール札幌苗穂　イオン札幌苗穂店2F","hiG_wOtM4zZcCw-A-b_feA","","","2"
"キャッツアイ東苗穂","北海道 札幌市東区 東苗穂六条 2-1-25","DepRnL1pBoinmWvKZ52Ivw","","","2"
"モーリーファンタジー札幌平岡","北海道 札幌市清田区 平岡三条 5-3-1　イオンモール札幌平岡　イオン札幌平岡店2F","EAdQ6GLfZn4RRB0neSOgHg","","","2"
"VEGAGIO美しが丘","北海道 札幌市清田区 美しが丘一条 7-6-10　ベガロポリス美しが丘店内","x4zd4iNFiYtGufkwK_Y8qg","","","2"
"ソユーゲームフィールド札幌発寒","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒3F","JT1UcxNgiLhYs1rNSY5KJA","","","2"
"モーリーファンタジー札幌発寒","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒　イオン札幌発寒店3F","hQSODrCd6f1SH496i2mpHw","","","2"
"GiGO 函館昭和","北海道 函館市 昭和 3-24-18　ゲオ函館昭和店内","eJHc_rJWlr9M1BUhwTbYNQ","","","2"
"GiGO MEGAドン・キホーテ函館","北海道 函館市 美原 1-7-1　MEGAドン・キホーテ函館店2F","473dC8ymKQ8y6X3Z-PitvA","","","2"
"ソユーゲームフィールド旭川西","北海道 旭川市 緑町 23-2161-3　イオンモール旭川西3F","0hkAd4HizdjwIY6zdrUbxA","","","2"
"モーリーファンタジー旭川西","北海道 旭川市 緑町 23-2161-3　イオンモール旭川西　イオン旭川西店2F","WcuTetJhytzA7pe0txnZSA","","","2"
"MEGAGET室蘭","北海道 室蘭市 中島本町 2-8-1","BgY_GS2c9t7eqkjL14dthQ","","","2"
"タイトーステーションイオンモール釧路昭和","北海道 釧路市 昭和中央 4-18-1　イオンモール釧路昭和2F","1ZuXl9mnGyIyzaesFQfpCw","","","2"
"GiGO ドリームタウン白樺","北海道 帯広市 白樺十六条西 2　ドリームタウン白樺内","9ywxD-5JxPNbA3XlsZFoLA","","","2"
"わいわいランド帯広","北海道 帯広市 稲田町南8線西 10-1　イトーヨーカドー帯広店2F","vEFEYEANuNXhHb-_D7t1NQ","","","2"
"GiGO 帯広稲田","北海道 帯広市 稲田町南8線西 12-1　帯広スズランボウル内","g5K6N5O-KFCmrfgORVlYFg","","","2"
"キッズパーク イオン帯広","北海道 帯広市 西四条南 20-1　イオン帯広店2F","ySUFMMMZ1mp8_SI7x8wktw","","","2"
"アミューズメントシティ東武イーストモール","北海道 北見市 端野町三区 572-1　東武イーストモール内","7v0_mukH6iu5dvFyXCniyw","","","2"
"GiGO 北見","北海道 北見市 西三輪 5-1-16","PoWlJgBqNwCsLsuArkaLgQ","","","2"
"モーリーファンタジー苫小牧","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧　イオン苫小牧店2F","hNCVw2GOJbZ2bni2ioqSZg","","","2"
"PALO江別","北海道 江別市 幸町 35　イオン江別店3F","zC3E_CJ4gvSiVGUoho_SGQ","","","2"
"モーリーファンタジー三笠","北海道 三笠市 岡山 1059-1　イオン三笠SC　イオンスーパーセンター三笠店1F","1T7wMBSu1qNqf6w7XWPrDQ","","","2"
"アピナ新千歳空港","北海道 千歳市 美々 1　新千歳空港（国内線）旅客ターミナルビル4F","nGun1ihx4D2Lg3fD6AU76A","","","2"
"PALO滝川","北海道 滝川市 東町 2-29-1　イオン滝川店1F","d2lug0A77FloiI4cig6k1g","","","2"
"モーリーファンタジー登別","北海道 登別市 若山町 4-33-1　イオン登別店2F","k_ixb5_0hJVRfQQPFRbRtQ","","","2"
"キャッツアイ恵庭","北海道 恵庭市 住吉町 2-9-1","FA3p5k7wZGjc5QDJ64GzGA","","","2"
"アドアーズインターヴィレッジ大曲","北海道 北広島市 大曲幸町 6-1　インターヴィレッジ大曲2F","Odx4U5nUlmJSXNS4YALpnw","","","2"
"モーリーファンタジー上磯","北海道 北斗市 七重浜 4-44-1　イオン上磯店1F","r_mXJiFfetObfc3OUUnt-w","","","2"
"MEGAGET釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","","","2"
"MEGAGET釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","","","2"
"モーリーファンタジー中標津","北海道 標津郡中標津町 南町 3-10　東武サウスヒルズ1F","G2FCfZX_8C1oY1vjXjXHag","","","2"
"GiGO BOWLノルベサ","北海道 札幌市中央区 南三条西 5-1-1　ノルベサ6F","qx8FLcTnJqdWVG6vsRna0w","","","1"
"GiGO ココノススキノ","北海道 札幌市中央区 南四条西 4-1-1　COCONO SUSUKINO 3F","AsIcBXCG9dPloV9v4qL43w","","","1"
"アミューズメントスペースジョイランド定山渓ビューホテル","北海道 札幌市南区 定山渓温泉東 2　定山渓ビューホテル内","tLb9BMabXEvB3gD0lAQ_DA","","","1"
"トム・ソーヤのなかまたち。札幌藻岩","北海道 札幌市南区 川沿二条 2-1-1　イオン札幌藻岩店2F","qgfyS_q8NfwWfDqu6DfsXg","","","1"
"モーリーファンタジー新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-6-2　新さっぽろアークシティdUo2　2F","90yK5_GlyQkmVCUDCUeFyA","","","1"
"ていね温泉ほのか","北海道 札幌市手稲区 富丘二条 3-2-1　ゲームコーナー","0qY4WMzkzA7tSR_47F1Dmg","","","1"
"ラッキー星置駅前","北海道 札幌市手稲区 星置一条 2-1-1　ラッキー星置駅前店内ゲームコーナー1F","G2T4iHDQAgReXR49tvVr3Q","","","1"
"タイトーステーションイオンモール札幌平岡","北海道 札幌市清田区 平岡三条 5-3-1　イオンモール札幌平岡2F","8gsGDvCyXNETblceXPBXFQ","","","1"
"湯の郷 絢ほのか","北海道 札幌市清田区 清田二条 3-2-26　ゲームコーナー","-K3XsLR7Lt3Ui_G8E1lElQ","","","1"
"モーリーファンタジー東札幌","北海道 札幌市白石区 東札幌三条 2-1　イオン東札幌2F","GML6YZF0fCYd_W75x8pKBg","","","1"
"キャッツアイ栄通","北海道 札幌市白石区 栄通 19-11-43","pOwKF8yvhuESOvB5hHligA","","","1"
"わいわいランド琴似","北海道 札幌市西区 琴似二条 1-4-1　イトーヨーカドー琴似店3F","1iW-Nfh-VriT-CO27uXRnA","","","1"
"モーリーファンタジー札幌琴似","北海道 札幌市西区 琴似二条 4-2-2　イオン札幌琴似店3F","iM1-ACwjFq7cKUpONQBh2g","","","1"
"キャッツアイミュンヘン大橋","北海道 札幌市豊平区 平岸一条 23-801-1","Gu67ZztLh0pzGnsSk7Uzbw","","","1"
"Bee-Qシーナシーナ福住","北海道 札幌市豊平区 福住二条 1-2-5　CiiNACiiNA福住3F","shqIVvmoZ0stu3TeUefbrQ","","","1"
"イオン札幌西岡","北海道 札幌市豊平区 西岡三条 3-4-1　イオン札幌西岡店2Fゲームコーナー","oqZtAnO4bXeEP4HTrheCZQ","","","1"
"コープさっぽろ湯川店ファミリーランド","北海道 函館市 湯川町 1-34-15　コープさっぽろ湯川店2F","50XxI1sH6kHnKK-2R61vPQ","","","1"
"モーリーファンタジー湯川","北海道 函館市 湯川町 3-14-5　イオン湯川店1・2F","1DRoMetfv7pKEqFijodX7A","","","1"
"ピーターパンと仲間たち函館","北海道 函館市 美原 1-3-1　グランディールイチイ1F","7szZR3gNGKg-8KmMrggtCQ","","","1"
"あそびパークウイングベイ小樽","北海道 小樽市 築港 11-1　ウイングベイ小樽1番街3F","UzAXGJZYgE2DYmSZbMC2ww","","","1"
"モーリーファンタジー旭川パルプ","北海道 旭川市 パルプ町一条 2-505-2　SCパルプタウン1F","sGok0_OoniIWfLd6LtZz_Q","","","1"
"GiGO メガセンタートライアル旭川","北海道 旭川市 六条通 14-64　メガセンタートライアル旭川2F","rpTbWGpoXg6PUBtE-SOJJg","","","1"
"アミューズメントスペース遊ランド春光","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","Xaqa-MmVS9DlDnuG3vkdbw","","","1"
"ファンタジープラザ旭川","北海道 旭川市 春光一条 8-1-65　MEGAドン・キホーテ旭川店2F","sl0_cPAYkWFX0q7KUSIghw","","","1"
