name,loc_id,address,pcb_count
"ラウンドワン札幌すすきの","DEcah2oynr8vD325wTaU9A","北海道 札幌市中央区 南五条西 3-6-1","18"
"GiGO 札幌駅西口","H57iUkDJXydOoqQFnN4QYQ","北海道 札幌市北区 北六条西 6　JR高架下","12"
"キャッツアイ新川","9dmK49ay3c7RIMpk-bBIiw","北海道 札幌市北区 新川二条 7-1-7","9"
"キャッツアイ新札幌","JUZEMwMT_gsRUleEjU5IVQ","北海道 札幌市厚別区 厚別東五条 1　ホーマックスーパーデポ厚別東店横","9"
"アドアーズ札幌北42条","WPMRbdk-NXkwkyFw5mLNsw","北海道 札幌市東区 北四十二条東 7-1-1　ドン・キホーテ北42条店2F","9"
"キャッツアイ清田","hzWMFmJ3s3CoA1QAK-ThLA","北海道 札幌市清田区 清田一条 1-20-1","9"
"タイトーステーション札幌狸小路2丁目","tgNdKGtqlA5hY25gmz9oNQ","北海道 札幌市中央区 南三条 西2-14　ニコービル","7"
"ラウンドワンスタジアム札幌北21条","FRVHpQMTAClhOqqm7Xsoyg","北海道 札幌市東区 北二十一条東 1-1-21","7"
"ラウンドワンスタジアム函館","TZAv1Nmcw3ocBewGVGXf0Q","北海道 函館市 西桔梗町 848-11","7"
"キャッツアイ篠路","33DTOzj56Wb2izvCHfVmig","北海道 札幌市北区 篠路一条 4-6-30","5"
"ゲームランド新さっぽろ","vjFsQO-W_EKqzoDeiiCykg","北海道 札幌市厚別区 厚別中央二条 5-7　新さっぽろアークシティ　カテプリ新さっぽろ3F","5"
"GiGO イオン札幌手稲駅前ショッピングセンター","CAmHkgAgtF5dCI2-sk82TQ","北海道 札幌市手稲区 前田一条 11　イオン札幌手稲駅前SC3F","5"
"キャッツアイ宮の沢","oEw6stYrCEqfRdwtKPiNPg","北海道 札幌市手稲区 西宮の沢五条 2-11-15","5"
"キャッツアイ東苗穂","DepRnL1pBoinmWvKZ52Ivw","北海道 札幌市東区 東苗穂六条 2-1-25","5"
"ラウンドワンスタジアム札幌・白石本通","aMdTukaIq7whaUbaJhnUPw","北海道 札幌市白石区 本通 16-北1-50","5"
"アミューズメントスペース遊ランド春光","Xaqa-MmVS9DlDnuG3vkdbw","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","5"
"ラウンドワンスタジアム旭川","_xdOEjTFE2umwHG2jRUxhw","北海道 旭川市 永山三条 1-4-7","5"
"MEGAGET室蘭","BgY_GS2c9t7eqkjL14dthQ","北海道 室蘭市 中島本町 2-8-1","5"
