name,loc_id,address,pcb_count
"東急百貨店さっぽろアミューズパーク","LhpJz81E2AwOJEYNWzD0yg","北海道 札幌市中央区 北四条西 2-1　東急百貨店さっぽろ店9F","4"
"ラウンドワン札幌すすきの","DEcah2oynr8vD325wTaU9A","北海道 札幌市中央区 南五条西 3-6-1","4"
"タイトーステーション札幌狸小路2丁目","tgNdKGtqlA5hY25gmz9oNQ","北海道 札幌市中央区 南三条 西2-14　ニコービル","2"
"GiGO 札幌駅西口","H57iUkDJXydOoqQFnN4QYQ","北海道 札幌市北区 北六条西 6　JR高架下","2"
"ゲームランド新さっぽろ","vjFsQO-W_EKqzoDeiiCykg","北海道 札幌市厚別区 厚別中央二条 5-7　新さっぽろアークシティ　カテプリ新さっぽろ3F","2"
"ラウンドワンスタジアム札幌北21条","FRVHpQMTAClhOqqm7Xsoyg","北海道 札幌市東区 北二十一条東 1-1-21","2"
"アドアーズ札幌北42条","WPMRbdk-NXkwkyFw5mLNsw","北海道 札幌市東区 北四十二条東 7-1-1　ドン・キホーテ北42条店2F","2"
"ソユーゲームフィールド札幌苗穂","1iCoQV6-n2TD_HyVDOmkkA","北海道 札幌市東区 東苗穂二条 3-1-1　イオンモール札幌苗穂2F","2"
"キャッツアイ清田","hzWMFmJ3s3CoA1QAK-ThLA","北海道 札幌市清田区 清田一条 1-20-1","2"
"ソユーゲームフィールド札幌発寒","JT1UcxNgiLhYs1rNSY5KJA","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒3F","2"
"ラウンドワンスタジアム函館","TZAv1Nmcw3ocBewGVGXf0Q","北海道 函館市 西桔梗町 848-11","2"
"namcoウイングベイ小樽","PIfWgXto_lsSRv9nyeo1WQ","北海道 小樽市 築港 11-5　ウイングベイ小樽5番街2・3F","2"
"ソユーゲームフィールド旭川駅前","tCZEbuhu-jhGRhKMXYGniA","北海道 旭川市 宮下通 7-2-5　イオンモール旭川駅前4F","2"
"アミューズメントスペース遊ランド春光","Xaqa-MmVS9DlDnuG3vkdbw","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","2"
"ラウンドワンスタジアム旭川","_xdOEjTFE2umwHG2jRUxhw","北海道 旭川市 永山三条 1-4-7","2"
"ソユーゲームフィールド旭川西","0hkAd4HizdjwIY6zdrUbxA","北海道 旭川市 緑町 23-2161-3　イオンモール旭川西3F","2"
"アミューズメントスペース遊ランド西御料","ZAWsW9j8yFJi-GcK1w2TqA","北海道 旭川市 西御料五条 2-1","2"
"GiGO ドリームタウン白樺","9ywxD-5JxPNbA3XlsZFoLA","北海道 帯広市 白樺十六条西 2　ドリームタウン白樺内","2"
"モーリーファンタジー苫小牧","hNCVw2GOJbZ2bni2ioqSZg","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧　イオン苫小牧店2F","2"
"アミューズメントスペース遊ランド稚内","kI8lAziyvWuHSU42ftYEzg","北海道 稚内市 港 5-8-15","2"
"キャッツアイ恵庭","FA3p5k7wZGjc5QDJ64GzGA","北海道 恵庭市 住吉町 2-9-1","2"
"モーリーファンタジー上磯","r_mXJiFfetObfc3OUUnt-w","北海道 北斗市 七重浜 4-44-1　イオン上磯店1F","2"
"PALO釧路","65Q_NIz9GQiKQu9PQV7P_A","北海道 釧路郡釧路町 桂木 1-1-7　イオン釧路店2F","2"
"ユーズランド下田","mSS8_YA6PY90rt4wxxebBg","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田1F","4"
"ラウンドワン青森","L89y1qRIN153St-aNZj91w","青森県 青森市 浜田 3-1-1","2"
"タイトーステーション青森アムゼ","7MKOMN45IrUMRgcHfxT3_Q","青森県 青森市 緑 3-9-2　サンロード青森アムゼ内","2"
"ソユースペースファンタジーインフィニ","3nUxecHCAT-i7SPYI6gJ9g","青森県 弘前市 城東北 3-10-1　さくら野百貨店弘前店4F","2"
