id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_00f4cb833487484edafae72b2cb0c22d","00f4cb833487484edafae72b2cb0c22d","群馬レジャーランド藤岡店","藤岡市中2002-1","県道13号沿い、上信越道藤岡IC北 カーオプション店『ピット100』2階","0274-40-2371","一部24時間営業","","36.27426745 139.0718857"
"id_shop_0a3c49950ac548d89ee722117950b29f","0a3c49950ac548d89ee722117950b29f","アミューズメントスペースコミ丸四日市店","四日市市鵜の森1-3-19","","0748-72-7848","","","34.96631 136.61633"
"id_shop_0bc8c52e29847fbfdfc8e79db45225f2","0bc8c52e29847fbfdfc8e79db45225f2","Hey(タイトー)","千代田区外神田1-10-5広瀬本社ビル2F","JR秋葉原駅電気街口を出て徒歩2分","03-5209-2030","10:00～24:00","無し","35.698992 139.77108"
"id_shop_0d07008fb48b3776bfa875605ff0b1b4","0d07008fb48b3776bfa875605ff0b1b4","遊道楽 嘉瀬店","佐賀市嘉瀬町大字中原2488-1","207号線沿い","0952-40-0952","11:00～24:00","無し","33.24215325 130.2565663"
"id_shop_0dfe721d1face3fc46cc434f979c96ff","0dfe721d1face3fc46cc434f979c96ff","ラウンドワン吉祥寺店","武蔵野市吉祥寺本町1-11-22","","0422-29-1051","10:00～翌0:50","無し","35.706276 139.580884"
"id_shop_0e2685d9f1b94ebaa4910e5b0f387886","0e2685d9f1b94ebaa4910e5b0f387886","フリスポ","筑西市神分472","国道50号を下館から小山方面へ10分","0296-22-7552","","",""
"id_shop_11f7f999a56b6eca7b46fcefd30b3678","11f7f999a56b6eca7b46fcefd30b3678","アミューズメントパークMG伊予三島店","四国中央市中之庄町汐汲道75-1","","0896-72-7177","","",""
"id_shop_14199ee45a17698ba623dd6e5dc6fd78","14199ee45a17698ba623dd6e5dc6fd78","アピナ鶴岡店","鶴岡市文下字広野1-1","","0235-29-1141","","","38.75839782 139.8439993"
"id_shop_1546b85f534efb58ffb46d508053ea90","1546b85f534efb58ffb46d508053ea90","ラウンドワン千日前店","大阪市中央区難波1-3-1","","06-4708-2600","10:00～24:00","無し","34.667424 135.5026714"
"id_shop_1af0afa210de42c1ecbd11ee32df6c65","1af0afa210de42c1ecbd11ee32df6c65","AMジャムジャム神栖店","神栖市神栖1-8-1","東関東自動車道:潮来I.Cから約10分","0299-90-0555","10:00～24:00","無し","35.89792811 140.6444633"
"id_shop_1b6ebd593f4d866d4be2ca8abb94c710","1b6ebd593f4d866d4be2ca8abb94c710","ユーズランド大河原店","柴田郡大河原町字小島2-1フォルテ2F","","0224-51-1237","","","38.065153 140.737021"
"id_shop_1d1355ffd1edb3421f2026be77b4de64","1d1355ffd1edb3421f2026be77b4de64","京都寺町 a-cho","京都市中京区東大文字町302A-breakビル2-3F","阪急京都線「河原町駅」下車徒歩3分","075-251-2323","10:00～24:00","無し",""
"id_shop_1dd261f008bd65dee075a14c60a4af4a","1dd261f008bd65dee075a14c60a4af4a","ゲームゾーン各務原店","各務原市鵜沼各務原町5-286-1","各務原インター21号を東に10分","058-264-3130","","無し","35.40406044 136.9147395"
"id_shop_1e143a0590e8aa3b5c962e5126aa4946","1e143a0590e8aa3b5c962e5126aa4946","ゲーム ダ･カーポ","君津市外箕輪92","国道127号線内箕輪運動公園館山方面車で1分","0120-010-267","9:30～24:00","無し",""
"id_shop_227568f95509829e54e8808f34f6013f","227568f95509829e54e8808f34f6013f","アレックス","宇部市西宇部南3-5-53","","0836-39-3587","9:00～24:00","","33.999394 131.220089"
"id_shop_22dc28d6357036e1b9c63f49aec6d3f8","22dc28d6357036e1b9c63f49aec6d3f8","シャトーEX","大阪市都島区東野田町3-9-3","JR/京阪京橋駅徒歩1分","06-6882-4801","7:00～24:00","無し","34.69804475 135.5337005"
"id_shop_29599c71020dc09ff3429c7eac13b9f5","29599c71020dc09ff3429c7eac13b9f5","ラウンドワン浜松店","浜松市東区天王町諏訪1981-17","浜松ICより約15分イオン浜松市野ショッピングセンター南","053-461-1101","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_2dbda0efb0bd10d7a710d1f03062a8a9","2dbda0efb0bd10d7a710d1f03062a8a9","ラウンドワン市川鬼高店","市川市鬼高4-1-3","県道283号「市川インター北側」交差点すぐ","047-320-3801","10:00～24:00","無し","35.711239 139.927465"
"id_shop_2e9723c84e127338f93661ec8d04c6e9","2e9723c84e127338f93661ec8d04c6e9","アミパラテクノランド","岡山市北区大和町1-7-12","法界院駅から徒歩10分","086-225-3377","10:00～24:00","","34.679221 133.927419"
"id_shop_2f2447095ad9e3643e29a5b65e5df589","2f2447095ad9e3643e29a5b65e5df589","楽市楽座イオンモール大和郡山店","大和郡山市下三橋741イオンモール大和郡山内3F","イオンモール大和郡山店内3F","0743-58-5660","10:00～21:00","無し","34.6510396 135.8022702"
"id_shop_318a188355a94d66dc86040934f382a4","318a188355a94d66dc86040934f382a4","スタジオプリモ水戸店","水戸市宮町1-2-4マイム1F","","070-6983-6155","","","36.371502 140.477417"
"id_shop_31ed4986f52df2a1a79055e3af90a06b","31ed4986f52df2a1a79055e3af90a06b","ラウンドワン加古川店","加古川市尾上町安田字小河原325番6号","明姫幹線沿い「安田交差点」すぐ","0794-29-2513","平日10:00?23:50、土日祝6:00～23:50","無し",""
"id_shop_3546266b03fbd3aaa85e992b60878369","3546266b03fbd3aaa85e992b60878369","柏駅前ヤングボウル","柏市柏1-3-1ドン･キホーテ5F","柏駅南口より徒歩2分 ドン・キホーテ5階","047-164-2117","9:00～翌3:00","無し","35.860487 139.971394"
"id_shop_369e8115e729a701580eba21cfb970d7","369e8115e729a701580eba21cfb970d7","スペ-スシャトル塩釜口店","名古屋市天白区塩釜口2-414","地下鉄名城線塩釜口駅前","052-833-4561","9:00～24:00","無し","35.13461553 136.9786798"
"id_shop_36ade331dafb09fe736ae9ac6e74a2d0","36ade331dafb09fe736ae9ac6e74a2d0","ユーズランド倉敷店","倉敷市水江1イオン倉敷ショッピングセンター2F","イオン倉敷SC2F倉敷駅北口1番乗場よりバスで10分山陽自動車道倉敷ICより約7分","086-430-5234","10:00～22:00","無し","34.60290341 133.7454258"
"id_shop_370cc7107d989e2f061a032f64ee5869","370cc7107d989e2f061a032f64ee5869","ゲームサファリ大山","板橋区大山東町60-10パチンコやすだ2F","東武東上線大山駅徒歩1分","03-5248-4743","10:00～24:00","無し",""
"id_shop_392ff63e272e0674dd5d7424b97905c8","392ff63e272e0674dd5d7424b97905c8","ユーズランド春日部店","春日部市下柳420-1イオンモール春日部2F 2037","庄和インターそば","048-745-2501","施設の営業時間に準じる","施設の営業日に準じる","35.987895 139.788478"
"id_shop_3ec41bbd9bd8e6e455fb34ba6f7430d3","3ec41bbd9bd8e6e455fb34ba6f7430d3","ラウンドワン守口店","守口市佐太東町2-6-14ジャガーグリーン2F","旧1号沿い中央環状線「大日」交差点東へ車で1分","06-6907-9270","平日10:00?23:50、土日祝6:00～23:50","無し","34.7562488 135.5886793"
"id_shop_4239056cc44c43fd631159e17878c578","4239056cc44c43fd631159e17878c578","AMジャムジャムひたちなか本店新館","ひたちなか市田中後40-2","北関東自動車道 ひたちなかインターから車で約5分","029-263-7615","10:00～24:00","無し","36.34746899 140.5800737"
"id_shop_43bb115b69e26f45a1e3572d46d37640","43bb115b69e26f45a1e3572d46d37640","佐原ミナミボウル","香取市佐原イ4200","","0478-54-6160","","","35.90115035 140.493442"
"id_shop_440fa6f9bba5bba1eaa984372c30bcbc","440fa6f9bba5bba1eaa984372c30bcbc","ラウンドワン鹿児島宇宿店","鹿児島市宇宿2-2-2","産業道路沿い、南港南口交差点 宇宿(うすき)","099-284-0655","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し","31.54388304 130.5427759"
"id_shop_44c1b8c1e87aa3577d22569e9fe66389","44c1b8c1e87aa3577d22569e9fe66389","ゲームアイビス太子店","揖保郡太子町太田2148-1","姫路バイパス太子ランプより相生方面へ車で5分","0792-77-2320","10:00～24:00","無し",""
"id_shop_4567af7fcfdfba71ebf8bf517bde0c0d","4567af7fcfdfba71ebf8bf517bde0c0d","ラウンドワン三宮駅前店","神戸市中央区小野柄通り6丁目1-17","JR/阪急/阪神「三宮駅」下車徒歩5分","078-252-7200","10:00～24:00/土・日・祝9:00～24:00","無し",""
"id_shop_45dcb92699d6f9d2a4a22a3a3153e21d","45dcb92699d6f9d2a4a22a3a3153e21d","G-palaあべの","大阪市阿倍野区阿倍野筋3-10-1あべのベルタ2F","阿倍野交差点近く","06-6648-6626","10:00～24:00","無し","34.6426363 135.5113991"
"id_shop_4849b02f89f69504e072941c1aa5dd5b","4849b02f89f69504e072941c1aa5dd5b","スーパーノバイオン仙台中山","仙台市泉区南中山1-35-57イオン仙台中山店別館3F","","022-347-3139","","","38.299061 140.828497"
"id_shop_5033a41c922cebdcc5d47f234f7ba005","5033a41c922cebdcc5d47f234f7ba005","アミューズメントパークMGキスケ店","松山市宮田町4キスケボール1F内ゲームコーナー","JR松山駅より徒歩3分","089-933-2737","10:00～24:00 日祝のみ8:00から","無し","33.84135404 132.753158"
"id_shop_513bc083677a54d369d2393b42dac9ad","513bc083677a54d369d2393b42dac9ad","東京レジャーランド秋葉原店","千代田区外神田1-9-5","JR秋葉原駅徒歩5分","03-5298-1360","10:00～25:00","無し","35.69887947 139.7701404"
"id_shop_54694780f3b5bc644fc3f08b4dbdddda","54694780f3b5bc644fc3f08b4dbdddda","大田原スポーツランド","那須塩原市一区町104-60","大田原ゴルフセンター入口付近(パチンコニラク前)","0287-36-7137","10:00～翌2:00","無し","36.85195131 139.9934495"
"id_shop_5586f5a287be7c30026c3a7f48a7cd21","5586f5a287be7c30026c3a7f48a7cd21","キングジョイ","名古屋市中区栄3-3-32","地下鉄栄駅徒歩3分","052-241-9515","9:00～24:00","無し","35.16797694 136.9050444"
"id_shop_566394a0dc546c0d25f223d9d41f43b4","566394a0dc546c0d25f223d9d41f43b4","楽市楽座303佐賀大和店","佐賀市大和町尼寺2965","佐賀大和ICより車で5分","0952-62-8606","10:00～24:00","無し","33.30153597 130.2808759"
"id_shop_5847a054e6d99b3865846eea56feb72c","5847a054e6d99b3865846eea56feb72c","ゲームゾーントレジャー新庄店","新庄市金沢沖1068ゼスト新庄店","新庄駅東口すぐそば","0233-22-9991","8:00～翌3:00","無し",""
"id_shop_58b4d5272efebcef2bfe6db23d780d94","58b4d5272efebcef2bfe6db23d780d94","スーパーノバ福島","福島市黒岩字中島7-2","高速福島西ICより車で15分。国道4号線を右折し「黒岩」交差点手前左側。","024-544-0280","10:00～24:00","無し","37.72777476 140.4671878"
"id_shop_5b14aa6594c8482e363447c3571ec77c","5b14aa6594c8482e363447c3571ec77c","アミューズメントCUE大和高田","大和高田市東中2-11-16","国道166号線東宝交差点そば","0745-25-3335","10:00～24:00","無し",""
"id_shop_5c0ebcbdea4539f37d2e190b43ef47ba","5c0ebcbdea4539f37d2e190b43ef47ba","ユーズランド高崎店","高崎市棟高町1400-イオン高崎SC2F","","027-310-9113","10:00～23:00","","36.39047889 139.0067302"
"id_shop_5d9b2dbb066aa7075b9370cdaf146a04","5d9b2dbb066aa7075b9370cdaf146a04","アミューズメントスペースコミ丸アリババ大垣店","大垣市池尻町940-1","関が原バイパス沿い","050-3575-0530","10:00～24:00","無し","35.38404596 136.5956139"
"id_shop_5da62880b3323e1740c6f45614fee0b1","5da62880b3323e1740c6f45614fee0b1","ADXマミー岡崎店","岡崎市井田新町6-1","","0564-83-6262","","","34.9770122 137.1611744"
"id_shop_5dc4184d46167256064393d9128d283f","5dc4184d46167256064393d9128d283f","関大前フタバボウル","吹田市千里山東1-7-18","阪急関大前駅下車徒歩5分","06-6338-3068","10:00～24:00/日・祝:9:00～24:00","無し","34.77288114 135.5062328"
"id_shop_5e5cc6b64b6ca8c3166b20e1f698c98b","5e5cc6b64b6ca8c3166b20e1f698c98b","イスカンダル木更津店","木更津市潮見4-1-2","木更津市役所より車で1分","0120-010-267","10:00～24:00","無し","35.36956684 139.9172944"
"id_shop_601b01a42a7d0ac056a5963ec86d003a","601b01a42a7d0ac056a5963ec86d003a","タイトーステーション広島紙屋町","広島市中区紙屋町2-2-21","広島電鉄 紙屋町西電停より徒歩2分","082-544-3961","平日10:00～24:00 土日祝9:00～24:00","無し","34.394034 132.456154"
"id_shop_61ab9402ef3b52689fcfcbc2bcf04976","61ab9402ef3b52689fcfcbc2bcf04976","ゲームコーナー東部","仙台市若林区六丁の目中町26-60","六丁目の交差点より多賀城方面へ向かい車で5分。産業通り沿い。","022-287-5880","9:00～24:00","無し","38.25101621 140.9438974"
"id_shop_644e25cc61054b5533773b06004c40bb","644e25cc61054b5533773b06004c40bb","バイパスレジャーランド加賀店","加賀市箱宮町ヲ1-1","国道8号線加賀産業道路終点近く","0761-74-8007","一部24時間営業","無し","36.32515503 136.4113746"
"id_shop_64c72ea059cf68d6ad3ec118709c3a91","64c72ea059cf68d6ad3ec118709c3a91","ゲームゾーントレジャー吉原店","山形市前明石1352-5","ジャスコ山形南店側","023-646-9336","10:00～24:00","無し",""
"id_shop_675284c3ffd1b400d8bd183b63067f4f","675284c3ffd1b400d8bd183b63067f4f","アミューズビバ","ひたちなか市東大島2-11-111Fゲームコーナー","勝田駅東口より北へ1km","029-274-7311","","","36.40636031 140.5317325"
"id_shop_67b6c33a2dd41ed4aea310685c059554","67b6c33a2dd41ed4aea310685c059554","ラウンドワン熊本店","熊本市西区春日7-25-15","県道28号線沿い 田崎市場方面平成けやき通りより新蓮台寺地下道をくぐり、西廻りバイパスを右折、田崎市場方面","096-325-7200","月9:00～23:50 火～金10:00～23:50、土日祝6:00～23:50","無し","32.78499883 130.6775647"
"id_shop_68e31355a4b6578ade5b47789878c8cd","68e31355a4b6578ade5b47789878c8cd","嶺宝スポーツセンター","いわき市小名浜住吉字折返2-2","6号バイパス住吉交差点横","0246-58-8093","11:00～23:00","火曜日","36.97400283 140.8903913"
"id_shop_6913d63fdb0cd9a53df2086f78e81584","6913d63fdb0cd9a53df2086f78e81584","ラウンドワン広島店","広島市中区立町3-11","ひろしま国際ホテルとなり","082-545-8910","月9:00～23:50、火～金10:00～23:50 土日祝6:00～23:50","無し","34.39365895 132.4600423"
"id_shop_6f570f9aa2b4baa7243dbbebb27f8052","6f570f9aa2b4baa7243dbbebb27f8052","GiGO綱島","横浜市港北区綱島西2-6-29城田ビル3F","","045-547-1199","","","35.5364623 139.6324113"
"id_shop_7af4d276e14a32e889a4d7c2cf28e968","7af4d276e14a32e889a4d7c2cf28e968","ラウンドワン池袋店","豊島区東池袋1-14-1池袋スクエア","","03-5928-0221","10:00～翌0:50","無し","35.730175 139.714846"
"id_shop_7c3a7521e934e6f98cf29573ca83e552","7c3a7521e934e6f98cf29573ca83e552","アミパラ佐世保","佐世保市大塔町18-15","JR大塔駅徒歩3分","0956-34-8880","10:00～24:00","無し","33.15005741 129.7804145"
"id_shop_7ea4d3c4f456d31915a55bd9a442af5f","7ea4d3c4f456d31915a55bd9a442af5f","ラウンドワン奈良ミナーラ店","奈良市二条大路南1-3-1ミ･ナーラ5F","","0742-32-3900","","","34.685231 135.802224"
"id_shop_7eb6129332f31ff53018925a48343476","7eb6129332f31ff53018925a48343476","モンテカルロ深谷店","深谷市西島3-1-2スカイハイツ","","048-574-3804","","","36.1919957 139.278317"
"id_shop_80d6eb561700b822c19cd65ed3ba9392","80d6eb561700b822c19cd65ed3ba9392","ユーズランド三光店","中津市三光佐知1032イオン三光SC2F","","0979-43-6562","","","33.559002 131.192857"
"id_shop_81549cfc1ecfb13812d976ed577d454b","81549cfc1ecfb13812d976ed577d454b","ラウンドワン福岡天神店","福岡市中央区天神2-6-12","岩田屋本館向かい","092-720-8101","6:00～深夜0:50","無し","33.58921038 130.3970847"
"id_shop_818902a2b5381048708e16b4a9b92326","818902a2b5381048708e16b4a9b92326","チャットタウン北上店","北上市北鬼柳19地割71パルショッピングセンター2F","","0197-65-3929","","","39.2931265 141.0916951"
"id_shop_831001cdff140b5a1b270db7fef79413","831001cdff140b5a1b270db7fef79413","バイパスレジャーランド藤江本館","金沢市藤江南2-41","国道8号線沿い藤江交差点近く","076-268-3798","一部24時間営業","無し","36.58397239 136.621523"
"id_shop_83404df7a5cfec5ae1d23dc26d4dbb4f","83404df7a5cfec5ae1d23dc26d4dbb4f","ゲームスポットSPEED","周南市久米3219","","0834-36-2828","9:00～24:00","無し","34.03259888 131.8374238"
"id_shop_858e4036185bee459f63371a3992b8db","858e4036185bee459f63371a3992b8db","アミューズメント ミール","三田市対中町5-21","神戸電鉄三田本町駅下車国道176号線側へ徒歩5分。車の場合はガリバー三田店より176号を三田方面へ、ブックプラザ三田店の向かい。","0795-64-5678","10:00～24:00","無し","34.88047252 135.2295927"
"id_shop_86858cd9cbb83eecd6b5d045294778db","86858cd9cbb83eecd6b5d045294778db","アピナ四日市店","四日市市泊小柳町4-34","","059-349-5011","","",""
"id_shop_86f91213c70d358abbf8bd04dc64a41a","86f91213c70d358abbf8bd04dc64a41a","ゲームゾーンR 一宮店","一宮市更屋敷字門60 1F","","0586-52-3388","","",""
"id_shop_874719677a4d433259d033e7f2de26c7","874719677a4d433259d033e7f2de26c7","GAME BANK","仙台市泉区大沢2-5-4","東北自動車道 泉インター直ぐ","022-776-5677","9:00～24:00","無し","38.352801 140.877385"
"id_shop_874b47ed9bdcf25b0f43e0b5b7647328","874b47ed9bdcf25b0f43e0b5b7647328","ラウンドワンみえ川越IC店","三重郡川越町大字南福崎851-1","伊勢湾岸道みえ・川越IC出口すぐ","059-361-2130","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_8bca737af6c3cb0eeff2a69403329f86","8bca737af6c3cb0eeff2a69403329f86","ラウンドワン旭川店","旭川市永山3条1-4-7","国道39号 永山3条1丁目","0166-49-5071","10:00～24:00/土9:00～24:00/日・祝8:00～24:00","無し",""
"id_shop_8c09c605bda689dedac21dce0e00093a","8c09c605bda689dedac21dce0e00093a","上越レジャーランボウル","上越市下門前薬島827-2","国道8号線沿い高岡市内関川大橋そば","0255-31-2030","一部24時間営業","無し","37.16405087 138.2489336"
"id_shop_8c2520931196d58074f4abcad9e444aa","8c2520931196d58074f4abcad9e444aa","G-pala小倉","北九州市小倉南区上葛原1-14-1","","093-953-7405","","","33.8396628 130.9100721"
"id_shop_8f8498df7ce389566fcb8d1af8b42a55","8f8498df7ce389566fcb8d1af8b42a55","ラウンドワン大宮店","さいたま市大宮区宮町4-90-7","JR「大宮駅」下車徒歩10分","048-658-5666","10:00～23:50、[土日祝]6:00～23:50","無し","35.91078012 139.6254963"
"id_shop_90264d8dbf8ecd7144d6091b856e641e","90264d8dbf8ecd7144d6091b856e641e","オートパーラーやすぎ","安来市西荒島町33","JR荒島駅徒歩15分国道9号線沿い","0854-28-8502","10:00～23:45","無し","35.43243772 133.1914366"
"id_shop_922499a19abda9935ebc5ecfb675dcc6","922499a19abda9935ebc5ecfb675dcc6","ラウンドワン高知店","高知市南宝永町4-12","土佐電鉄「宝永町」駅より徒歩約5分","088-804-3070","10:00～24:00","無し","33.55791 133.554343"
"id_shop_938bca91830cbd09b52f318ed42baae6","938bca91830cbd09b52f318ed42baae6","ラウンドワン山梨･石和店","笛吹市石和町広瀬737-1","国道20号線広瀬東交差点すぐ","055-261-9501","10:00～24:00","無し","35.643609 138.622752"
"id_shop_93a259da63b1a9b6a81a0da4e8c3fdc3","93a259da63b1a9b6a81a0da4e8c3fdc3","楽市街道 箱崎店3F","福岡市東区箱崎5-1-8楽市楽座003内","3号線沿い九州大学そば","092-642-0761","10:00～24:00","無し","33.62410817 130.4195897"
