shop,adress,map
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1,"43.0545356 141.354524"
タイトーステーション札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４,"43.05733562965091 141.35545295092618"
キャッツアイ新川店,北海道札幌市北区新川二条７丁目１ー７,"43.10073661576035 141.31029544418027"
ＧｉＧＯ札幌駅西口,北海道札幌市北区北６条西６丁目１‐１,"43.067531 141.3462795"
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１ー２−１０,"43.045261229019154 141.47579700000006"
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７−３ カテプリさっぽろ３階,"43.0374407 141.4724783"
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１,"43.00298407634302 141.43639692394254"
アドアーズ札幌北４２条,北海道札幌市東区北４２条東７−１−１　嶋ビル２階,"43.111964293580535 141.3551602123032"
キャッツアイ東苗穂店,北海道札幌市東区東苗穂６条２丁目１−２５,"43.09234016092269 141.40699743068853"
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１,"43.086762669369904 141.34970463372952"
ＧｉＧＯ西友手稲,北海道札幌市手稲区前田１条１１丁目西友手稲店３階,"43.120533311687296 141.24542048346711"
キャッツアイ宮の沢店,北海道札幌市手稲区西宮の沢５条２丁目１１−１５,"43.0963919 141.2576566"
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1　イオン札幌発寒SC3F,"43.09642223076628 141.2764948600494"
アミューズメントスペース遊ランド稚内店,北海道稚内市港５丁目８−１５,"45.400698301313675 141.6808192490738"
ＧｉＧＯドリームタウン白樺,北海道帯広市白樺１６条西２丁目ドリームタウン白樺１階,"42.919418067661404 143.1743324576721"
アミューズメントスペース遊ランド春光店,北海道旭川市春光1条7丁目2-25,"43.7981968 142.3740362"
ラウンドワン旭川店,北海道旭川市永山三条１−４−７,"43.78637346773256 142.3974371227539"
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F,"43.79408719506126 142.32592985504766"
遊ランド西御料店,北海道旭川市西御料５条２丁目,"43.7238720471648 142.36886846864775"
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F,"43.76400559012282 142.3571151023773"
ＧｉＧＯ北見,北海道北見市西三輪５丁目１番地１６号,"43.79659750925586 143.84261135337294"
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１,"43.79707114010737 143.851401946627"
キャッツアイ苫小牧駅前店,北海道苫小牧市木場町１丁目３番地２,"42.6417399 141.5976863"
ＰＡＬＯ苫小牧,北海道苫小牧市糸井１３５−１トライアルG棟トライアル苫小牧店,"42.61384583223041 141.5240502564834"
ＧｉＧＯイオンモール苫小牧,北海道苫小牧市柳町３丁目１番２０号イオンモール苫小牧２階,"42.656318651942605 141.64203722009893"
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１,"43.008918973170516 144.40800352460633"
ＧｉＧＯ室蘭,北海道室蘭市東町４丁目３１番２号１階,"42.342172559521146 141.02595662516592"
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１,"42.35352635249717 141.01454196745908"
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ,"41.78903779046837 140.74438390245098"
ラウンドワン函館店,北海道函館市西桔梗町８４８−１１,"41.82463797010178 140.71751477301632"
ＰＡＬＯ網走,北海道網走市駒場北５丁目８３番地,"44.0009412171847 144.28394311656757"
アミューズメントスペース遊ランド士別,北海道士別市大通東８,"44.173917480090296 142.39432631911848"
遊ランド富良野店,北海道富良野市弥生町５番５０号,"43.3442505 142.3785285"
ラウンドワン青森店,青森県青森市浜田３−１−１,"40.79869392232356 140.7484106079346"
ゲームフェスタミタマ店,青森県弘前市駅前町5-5,"40.5983610428264 140.4835733398811"
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ,"40.606686 140.4958836"
ＧｉＧＯ弘前,青森県弘前市末広１−３−３,"40.6040697 140.4999194"
ＧｉＧＯ八戸,青森県八戸市城下４−２５−１４,"40.519927672733814 141.49829220674587"
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ,"40.6014566 141.41778390000002"
ゲームランドつがる柏店,青森県つがる市柏稲盛幾世41イオンモールつがる柏2F,"40.8026320651684 140.41665451349184"
ＰＡＬＯ五所川原,青森県五所川原市大字唐笠柳字藤巻６４１番１　アクロスプラザ,"40.80094187284157 140.4614001730164"
ＰＡＬＯむつ,青森県むつ市中央２−７−８　１Ｆ,"41.2868804145717 141.18372967976234"
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F,"39.68356695847018 141.1286693809509"
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５,"39.7003942 141.1331774"
ＢＩＮＧＯ一関,岩手県一関市山目字中野９２−１,"38.933759975927046 141.11832127116395"
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール１Ｆ,"39.3864097 141.1359548"
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１,"39.29486066655183 141.133982661377"
チャットタウン北上店,岩手県北上市北鬼柳１９地割６８番地　江釣子ＳＣパル２Ｆ,"39.29318789535935 141.0930970725692"
ＰＡＬＯ久慈,岩手県久慈市長内町第３０地割３２−２久慈SC１F,"40.18986157592543 141.78559756403195"
ＧｉＧＯ水沢,岩手県奥州市水沢区佐倉河字鎧田４−１,"39.15265691424136 141.14937215034558"
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F,"39.2711987516425 141.88180519996945"
ＧｉＧＯ仙台一番町,宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階,"38.2641347 140.8711617"
ＧｉＧＯ仙台,宮城県仙台市青葉区中央２−５−５三経６０ビル,"38.2616214 140.8767359"
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５,"38.26100058786955 140.8756067312828"
タイトーステーション仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３,"38.26194339084924 140.87920762271915"
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F,"38.25099848897897 140.94393691534424"
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４,"38.3527525 140.877403"
ＧｉＧＯイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ,"38.297896075869346 140.8270834629517"
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階,"38.2259896 140.8767364"
ＧｉＧＯ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前１番５３−１,"38.26020937916718 140.96935844274867"
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25,"38.26101273020553 140.88374967301638"
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０,"38.2680832 140.9172451"
