name,address,loc_id,latitude&longitude
"HapipiLand旭川","北海道 旭川市 永山十二条 3　ウェスタンパワーズ2F","hjXt1HuOGh6-daBAl8ASgw","43.778433 142.412167"
"GALAXY GATE 星が浦","北海道 釧路市 星が浦大通 2-5","f2kS-8NrGq9Rg6INaR0ueA","43.014348 144.320148"
"G3ポロス原町","福島県 南相馬市 原町区北原字本屋敷 188","oAmUMP8Ln7VHjwZIoLaGBA","37.6268239 140.9879456"
"ゲームパークM-1","群馬県 前橋市 国領町 2-13-6","kSW1Y9BzWQvnPWpvE-eKzA","36.4052211 139.0658829"
"ルパン122","群馬県 邑楽郡邑楽町 中野 1593","I_wbKsDl5jCLPe7LZ2VGjA","36.269948 139.459743"
"GIGA武蔵浦和本店","埼玉県 さいたま市南区 沼影 3-5-15","V1ptdqDQ1yWIu-7bWj_BQQ","35.837754 139.651071"
"アミューズメントクラブ浦和","埼玉県 さいたま市浦和区 仲町 1-10-7","nMBtCDhtP1SMCDZfjAEWbQ","35.86026 139.65354"
"嵐山ドライブイン","埼玉県 比企郡嵐山町 志賀 1822","YgDspXUNWKN7CnoUK4IuVA","36.051125 139.305423"
"イスカンダル木更津","千葉県 木更津市 潮見 4-1-2","ViY_jgYvVlwVMVIzD-H-Uw","35.36976806 139.9175808"
"ダ・カーポ","千葉県 君津市 外箕輪 91-1","jsMFIysbfyjf7zN66JzreA","35.315432 139.928136"
"タイトーステーション秋葉原","東京都 千代田区 外神田 4-2-2　貴三ビル","_eibz69Hb8bFn6hEZQmGMQ","35.700222 139.771718"
"ゲームイエストロン","東京都 新宿区 新宿 3-34-9","9IM8MCslcMoUqdQt8WfAug","35.690596 139.702397"
"アミューズメントスペースルモンド巣鴨","東京都 豊島区 巣鴨 2-5-9　藤田ビル","LiSKQnY3uaAIbF6VESskVw","35.734009 139.739675"
"ゲームサファリ池袋","東京都 豊島区 東池袋 1-42-3　やすだ東池袋店2F","hN-oihD-_EWc_60vFu-QUw","35.732339 139.713315"
"ドットコム葛西","東京都 江戸川区 中葛西 3-35-5","fPWGIJ4NOxIw1BAJ7al23Q","35.6643609 139.8721784"
"キャロム青梅","東京都 青梅市 千ケ瀬町 4-326-1","ZE12GWkELK5D0AR-iCvjgw","35.78611339 139.2699373"
"アミューズメントスペースカプセル","東京都 多摩市 永山 1-3-4　ヒューマックスパビリオン永山B1～2F","WaaJBnx2sz6NQCPIbprnhQ","35.631434 139.447925"
"ゲームパラダイスゼロワン","神奈川県 横須賀市 若松町 1-6　ヨコビル3F","p1SXo01I7NOOsq21D3-nSg","35.279547 139.671056"
"プレイランドイン黒部","富山県 黒部市 沓掛 645","eL85a_LczOARYhFgM_oxQw","36.88895722 137.4645102"
"La・Fiesta豊橋","愛知県 豊橋市 広小路 1-6-2　フェイス豊橋ビルB1F","LkB_a_FoPGtU7le8D_tTVw","34.764775 137.38375"
"ムー大陸西尾","愛知県 西尾市 下町 御城下23-1　おしろタウンシャオ2F","72NOC6-v39VHo5s05esCYQ","34.867783 137.045431"
"PALO津南","三重県 津市 高茶屋小森町 145　イオンモール津南3F","v7egYpiLlVfy9h86vBjWhA","34.6706024013 136.518024659"
"BOWL ARROW 松原","大阪府 松原市 大堀 1-1-9　ボウルアロー松原店","BcY-6_jRBjlX8_-T1aw1Dg","34.5848119 135.5718565"
"ピタゴラス和歌山","和歌山県 和歌山市 土入 73-1","37jenbdchd9NKhFGndyfVQ","34.252872 135.145628"
"スーパーヒーロー倉吉","鳥取県 倉吉市 見日町 633","l9KY5DjdE1TGrkKwqpn5Ag","35.438279 133.83934"
"フタバ図書アルティランド","広島県 広島市西区 草津南 4-7-1　アルパーク北棟2F","rGidToOvzpywKhwJBBCZ-w","34.375512 132.3937486"
"GIGA八本松","広島県 東広島市 八本松東 3-11-9","ieEyI_eLDTg3tX94VYGJBQ","34.446524 132.707591"
"ゲームセンターウィズダム","福岡県 飯塚市 柏の森 162-3","dxObV33Wgvgbv-L5ayAAag","33.64327 130.703337"
"三冠王バッティングセンター","長崎県 佐世保市 相浦町 2689-1","kWKDGcFHwrREU_wAK7GPtQ","33.19077142 129.6529144"
"HapipiLand南城大里","沖縄県 南城市 大里高平高宮城原 97-2　イオンタウン南城大里内","8L65QTf4kHMVRXO76JWQ3Q","26.173055 127.744163"
