id, data-fdesc, data-name, data-address, data-access, data-telno, data-operationtime, data-holiday, data-latitude data-longitude
"id_shop_7e54864ff724b8cad7bf622c70ea1352","7e54864ff724b8cad7bf622c70ea1352","ビックバン函館","函館市梁川町9-3パボッツ函館3F","五稜郭公園前駅から徒歩5分","0138-54-7100","10:00～24:00","","41.78900071 140.7444508"
"id_shop_3b2d48a85049f90a2b2de33f917ed5da","3b2d48a85049f90a2b2de33f917ed5da","アピナ新千歳空港店","千歳市美々1新千歳空港(国内線)旅客ターミナルビル4F","新千歳空港内4F","0123-25-9958","10:00～22:00","無し","42.787433 141.680374"
"id_shop_0e0bda6fa588ebb659f7b98768669f3f","0e0bda6fa588ebb659f7b98768669f3f","アミューズメントスペース遊ランド士別店","士別市大通り東8","士別駅徒歩10分","0165-29-2828","12:00～翌2:00","無し","44.173913 142.394292"
"id_shop_3406b6f43c2b87c3b06e423b44507ffd","3406b6f43c2b87c3b06e423b44507ffd","GiGO室蘭","室蘭市東町4-31-3","JR東室蘭駅下車徒歩15分","080-7434-6759","10:00～24:00","無し","42.34253462 141.026287"
"id_shop_c2edbf167ab4012e141361d9ed75239d","c2edbf167ab4012e141361d9ed75239d","カラオケルームキャッツアイ恵庭店","恵庭市住吉町2-9-1","JR恵庭駅下車徒歩20分","0123-32-1500","10:00～24:00","無し","42.87586684 141.5834741"
"id_shop_7e18dc21a90f7bdf0cacfb602211066f","7e18dc21a90f7bdf0cacfb602211066f","キャッツアイ静内店","日高郡新ひだか町静内木場町2-1-41","","0146-43-0888","10:00～24:00","","42.341483 142.354614"
"id_shop_738ffe41ad62806df859bf02a92bd875","738ffe41ad62806df859bf02a92bd875","ソユーゲームフィールド旭川駅前店","旭川市宮下通7-2-5イオンモール旭川駅前4F","","0166-21-3737","","","43.7639638 142.3552286"
"id_shop_81a24f1e28a5d907b628685da52bee1e","81a24f1e28a5d907b628685da52bee1e","キャッツアイ新川店","札幌市北区新川2条7-1-7","札樽自動車道新川IC前","011-766-2828","10:00～24:00","無し","43.10077961 141.3102954"
"id_shop_394069865c7ea14f636a69ff1b90a8a5","394069865c7ea14f636a69ff1b90a8a5","キャッツアイ篠路店","札幌市北区篠路1条4-6-30","JR篠路駅下車徒歩20分","011-776-1500","10:00～24:00","無し","43.14070168 141.3571701"
"id_shop_7c9e10e372e12f4e4bdda8ec84809f69","7c9e10e372e12f4e4bdda8ec84809f69","キャッツアイ宮の沢店","札幌市手稲区西宮の沢5条2-11-15","札樽自動車道札幌西ICから車で3分","011-688-8682","10:00～24:00","無し","43.09655936 141.2574555"
