name,address,loc_id,latitude&longitude
"ADXマミー岡崎","愛知県 岡崎市 井田新町 6-1","WjOKnaPt8-R61FKbJJgF3w","34.9770122 137.1616994"
"G3ポロス原町","福島県 南相馬市 原町区北原字本屋敷 188","oAmUMP8Ln7VHjwZIoLaGBA","37.6268239 140.9879456"
"GAME BANK 泉","宮城県 仙台市泉区 大沢 2-5-4","PxXWTR6SVhQUo1Cujad0lw","38.3527358 140.8773475"
"GiGO 仙台","宮城県 仙台市青葉区 中央 2-5-5","08rsOjm3vjm8e677jwwdXg","38.261621 140.876736"
"GiGO 大森","東京都 大田区 山王 2-1-5　大森駅ララビル2F","qjSW1JBzYceqBvnOnUsiig","35.58994359 139.7284341"
"GiGO 神楽坂","東京都 新宿区 神楽坂 2-11　第2カグラヒルズ1F","eODcmAvB7oiXpnqG3r8_yg","35.701037 139.742011"
"GiGO 赤羽","東京都 北区 赤羽 1-7-9　赤羽第一葉山ビルB1F","xghdJL0PpJS_PJ719smIVg","35.7790173 139.7223472"
"M&#39;sPARK刈谷","愛知県 刈谷市 稲場町 3-206","sGJo2Mn_qYmmXOU6jzdQUw","35.00546406 137.0014375"
"namco中野","東京都 中野区 中野 5-52-15　中野ブロードウェイ別館","BlQ9dEVrA_Oj20-Ywyri5Q","35.70910422 139.6661183"
"namco巣鴨","東京都 豊島区 巣鴨 1-15-1　宮田ビルB1・B2F","HA7tpRVAo6my84_HRuQ5Dw","35.7331841 139.7399226"
"アミパラ垂水","兵庫県 神戸市垂水区 名谷町字室山 1400-18","kaitpjdXRTkENQ2Rsns2uw","34.66456702 135.0667709"
"アミューズメントスペース遊ランド稚内","北海道 稚内市 港 5-8-15","kI8lAziyvWuHSU42ftYEzg","45.4007384 141.6808901"
"アミューズメントゾーン北上","岩手県 北上市 本通り 2-2-1　さくら野百貨店北上店4F","-FabGdDnZd7_udefynEPjg","39.288443 141.115825"
"アミューズメントパークネバーランド2","神奈川県 座間市 ひばりが丘 4-11-48","wJn189RjTcI93VI3P7FFBA","35.4800499 139.4320659"
"カプコサーカス新潟東","新潟県 新潟市東区 大形本町 3-1-2　イオン新潟東店内ゲームコーナー","_INsvFeP7CpdKNhIuNirQg","37.92514116 139.1147232"
"クラブセガ新宿西口","東京都 新宿区 西新宿 1-12-5　西口三平ビル","QBMUwlBi9EUfqaBNd-XFZQ","35.68948738 139.697409"
