shop,address,id,place
"ソニックワールド伊万里","佐賀県 伊万里市 二里町八谷搦 189-3","8yTtxqBeU8BY41gic8FNiQ","33.278589 129.872228"
"ソニックワールド大村","長崎県 大村市 古賀島町 383-1","qxMRuN9LjBCApT3G_fM7Pg","32.927312 129.939584"
"ソユーウェスタンシティ","大阪府 大阪市此花区 島屋 6-2-82　ユニバーサル・シティウォーク大阪3F","dCpS21GqnQBRiHoGeySrSg","34.66837 135.437328"
"ソユーエンターテイメントスタジオ須賀川","福島県 須賀川市 古河 105　イオンタウン須賀川B棟内","fziAI9CM4cCpovH-4bsHvw","37.2973819 140.3851589"
"ソユーゲームフィールドみのおキューズモール","大阪府 箕面市 西宿 1-15-30　みのおキューズモールCENTER棟2F","ORr3JJgR4qLtaHj-hf6J8Q","34.833013 135.489402"
"ソユーゲームフィールドイオンタウン長野三輪","長野県 長野市 三輪 9-43-24　イオンタウン長野三輪2F","IrTJ5cptD14smEODxuud2A","36.669568 138.207275"
"ソユーゲームフィールド三川","山形県 東田川郡三川町 猪子字和田庫 128-1　イオンモール三川1F","9Adq2RlOWFvLyn8Mj9OVmA","38.81588695 139.8350573"
"ソユーゲームフィールド上大岡","神奈川県 横浜市港南区 上大岡西 1-18-3　ミオカリスト館6F","ndQ_rD2lezuhAo6TbS4JNg","35.40778 139.595299"
"ソユーゲームフィールド八戸","青森県 八戸市 沼館 4-7-112　ピアドゥB棟2F","joVNChSPBBuG_mH5P-94qQ","40.527767 141.497134"
"ソユーゲームフィールド千城台","千葉県 千葉市若葉区 千城台北 3-21-1　イコアス千城台3F","Vd8glGlp0Y0ZlMUSjWafew","35.622236 140.189364"
"ソユーゲームフィールド古川","宮城県 大崎市 古川沢田 字筒場浦15　イオンタウン古川内","XUsqBCYKjhdYSh0uJX49LQ","38.599023 140.974156"
"ソユーゲームフィールド堺鉄砲町","大阪府 堺市堺区 鉄砲町 1　イオンモール堺鉄砲町3F","QmB0AlrlJ1QgM_cEIVC72A","34.594046 135.481209"
"ソユーゲームフィールド大館","秋田県 大館市 御成町 3-7-58　いとく大館SC3F","Ic30lPnclRY2GCatgoeLvw","40.280882 140.56034"
"ソユーゲームフィールド天童","山形県 天童市 芳賀タウン北 4-1-1　イオンモール天童　モール棟2F","pWSsbXzhsAzjD5RrffKVzg","38.344909 140.364039"
"ソユーゲームフィールド奈良橿原","奈良県 橿原市 曲川町 7-20-1　イオンモール橿原3F","ioDu4RJS9OjlgIxPBNczUg","34.505523 135.762454"
"ソユーゲームフィールド小名浜","福島県 いわき市 小名浜字辰巳町 79　イオンモールいわき小名浜3F","UjlPMy6p6ro7OTXCHc4EUQ","36.946819 140.903794"
"ソユーゲームフィールド川口","埼玉県 川口市 並木元町 1-79　アリオ川口3F","NS6V4uuplRJHk-OL5fQvQA","35.807118 139.714135"
"ソユーゲームフィールド御所野","秋田県 秋田市 御所野地蔵田 1-1-1　イオンモール秋田2F","IezrtwPDeAgwmWcMA5wFGg","39.663619 140.160522"
"ソユーゲームフィールド旭川西","北海道 旭川市 緑町 23-2161-3　イオンモール旭川西3F","0hkAd4HizdjwIY6zdrUbxA","43.794087 142.32593"
"ソユーゲームフィールド旭川駅前","北海道 旭川市 宮下通 7-2-5　イオンモール旭川駅前4F","tCZEbuhu-jhGRhKMXYGniA","43.764006 142.357115"
"ソユーゲームフィールド木更津","千葉県 木更津市 築地 1-4　イオンモール木更津2F","-EV3J_aqGQOJH2ruUo49rg","35.366073 139.908342"
"ソユーゲームフィールド札幌発寒","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒3F","JT1UcxNgiLhYs1rNSY5KJA","43.096422 141.276495"
"ソユーゲームフィールド札幌苗穂","北海道 札幌市東区 東苗穂二条 3-1-1　イオンモール札幌苗穂2F","1iCoQV6-n2TD_HyVDOmkkA","43.079836 141.403812"
"ソユーゲームフィールド泉南","大阪府 泉南市 りんくう南浜 3-12　イオンモールりんくう泉南2F","rBrCKmY1RKqJnGGfbLi6Mg","34.38114702 135.2680707"
"ソユーゲームフィールド湘南","神奈川県 藤沢市 辻堂新町 4-1-1　湘南モールフィル2F","7fyQDAxbw7eevjc06evvVQ","35.339134 139.464511"
"ソユーゲームフィールド熊谷","埼玉県 熊谷市 銀座 2-245　SCニットーモール4F","MmT7JdEaQC8QpacWeuDASg","36.138788 139.39377"
"ソユーゲームフィールド盛岡南","岩手県 盛岡市 本宮 7-1-1　イオンモール盛岡南1F","-F8jxSRXQL9aFB-mRSXwLA","39.683567 141.128669"
"ソユーゲームフィールド能代","秋田県 能代市 鰄渕 字古屋布1　イオンタウン能代内","MFD-b5onzW8y5Tk0FuH9AQ","40.188827 140.077504"
"ソユーゲームフィールド菖蒲","埼玉県 久喜市 菖蒲町菖蒲 6005-1　モラージュ菖蒲3F","3zXnSzXb4SrjZDZ6KuVGGg","36.075663 139.60987"
"ソユーゲームフィールド釜石","岩手県 釜石市 港町 2-51-41　イオンタウン釜石3F","-5JbKSsfwK-jpbgonWFYOw","39.271199 141.881805"
"ソユーゲームフィールド青森","青森県 青森市 浜田 1-14-1　イトーヨーカドー青森店2F","ymr_FoT-qF2LR3v6Rvt9ew","40.800813 140.749054"
"ソユーザウルスワールド大森","東京都 大田区 大森北 2-13-1　イトーヨーカドー大森店3F","Tdz5gso00z1Kmy4Vu0UaSw","35.586479 139.733046"
"ソユースペースファンタジーインフィニ","青森県 弘前市 城東北 3-10-1　さくら野百貨店弘前店4F","3nUxecHCAT-i7SPYI6gJ9g","40.607213 140.49568"
"ソユートイズニューヨーク守谷","茨城県 守谷市 百合ケ丘 3-249-1　イオンタウン守谷2F","77Io6utltUhLvaV4W8RRPA","35.944794 139.990601"
"ソユーファミリーゲームフィールド花巻","岩手県 花巻市 高木 第16地割68-6　銀河モール花巻1F","6ODpT1TwiAON5B7x5OMWOA","39.386541 141.136803"
"ソユーファミリーゲームフィールド防府","山口県 防府市 鐘紡町 7-1　イオンタウン防府1F","d47HlNP1hE2xenuKBZGAmw","34.0482681 131.5902686"
"ソユーフォレストハンター松前","愛媛県 伊予郡松前町 筒井 850　エミフルMASAKI　エミアミューズ1F","FTZC2qTLmGnN5NUGpwJODA","33.78780595 132.7150798"
"ソユーブレーメンタウン鳴海","愛知県 名古屋市緑区 鳴海町 伝治山3-9　アピタ鳴海店2F","jhHnziapGqel7syniGujKw","35.094121 136.959345"
"ソユープレイランドソピアいとくアクロス能代","秋田県 能代市 寺向 70　いとく能代SCショッピングタウンアクロス能代内","DRgIfl_H3xfmxdjjXkifxg","40.182816 140.053478"
"ソユープレイランドソピア八王子","東京都 八王子市 狭間町 1462-1　イトーヨーカドー八王子店3F","ie7YmojqVnyQWBf_r8Pcbw","35.637918 139.293436"
"ソユープレイランドソピア南大沢","東京都 八王子市 南大沢 2-28-1　イトーヨーカドー南大沢店3F","ybQovipNqQtFMTG0kzOKvw","35.613228 139.37948"
"ソユープレイランドソピア安城","愛知県 安城市 住吉町 3-1-8　イトーヨーカドー安城店2F","XtWxzL97fEl5MbjAVRK1FQ","34.985124 137.083246"
"ソユープレイランドソピア幕張","千葉県 千葉市花見川区 幕張町 4-417-25　イトーヨーカドー幕張店2F","2IVlQxF2409WdaGLYnKgcw","35.656345 140.051238"
"ソユープレイランドソピア鹿角","秋田県 鹿角市 花輪 字下夕町164-1　いとく鹿角SC内","jMKIdQyyWXd5xji4kmC7Yg","40.199675 140.793087"
"ソユー竜宮タウン静岡","静岡県 静岡市駿河区 石田 1-5-1　セントラルスクエア静岡　アピタ静岡店2F","pX7mZrXovJGhrbN2177OSA","34.959355 138.401094"
"タイトーFステーションHAT神戸","兵庫県 神戸市中央区 脇浜海岸通 2-2-2　ブルメールHAT神戸2F","gMZzVHPaUHSGfvAwPpOXiQ","34.699598 135.214256"
"タイトーFステーションN’sCITY谷山","鹿児島県 鹿児島市 卸本町 5-35　ニシムタN&#39;sCITY谷山店2F","lQHUST1ND8lcTvIs4djM3A","31.518261 130.52261"
"タイトーFステーションVAL小山","栃木県 小山市 城山町 3-3-22　VAL小山駅ビル3F","cg6iHFOxZhegV1Byf6rgYg","36.313872 139.806539"
"タイトーFステーションゆめタウン別府","大分県 別府市 楠町 382-6　ゆめタウン別府3F","v4Dyq1gTunbMbzURw-5u1Q","33.27632 131.507715"
"タイトーFステーションゆめタウン東広島","広島県 東広島市 西条町土与丸 1-5-7　ゆめタウン東広島4F","0KkyZghU5MT5lygeBoov5Q","34.42695 132.750133"
"タイトーFステーションりんくうシークル","大阪府 泉佐野市 りんくう往来南 3","Uto2YdLAH7jP3D9Vhwq74Q","34.410022 135.298653"
"タイトーFステーションアスピア明石","兵庫県 明石市 東仲ノ町 6-1　アスピア明石南館3F","odmITe31LAK0xPy-YLaBQg","34.647805 134.995082"
"タイトーFステーションアル・プラザ鯖江","福井県 鯖江市 下河端町 16-16-1　アル・プラザ鯖江内","Tw-e_MswobmAmu8kR-ixZg","35.969307 136.189513"
"タイトーFステーションアル・プラザ鶴見","岐阜県 大垣市 鶴見町 字上渡瀬641-2　アル・プラザ鶴見2F","i2OxPUAid3Txi-7Jv2kD6w","35.35904 136.642289"
"タイトーFステーションイオンプラザ大島","鹿児島県 奄美市 名瀬小浜町 23-1　イオンプラザ大島店3Fゲームコーナー","SD_ajFXR8niys8nP9JYh4g","28.384039 129.500818"
"タイトーFステーションイオンモール下妻","茨城県 下妻市 堀篭 972-1　イオンモール下妻2F","LdNQhIlViPKq9UVQ0n5CYw","36.189545 139.990167"
"タイトーFステーションイオンモール浜松市野","静岡県 浜松市東区 天王町字諏訪 1981-3　イオンモール浜松市野2F","kcpL5JWPjQI0M5b6ZaPo-w","34.739861 137.763109"
"タイトーFステーションイオン伊勢原","神奈川県 伊勢原市 白根 630-1　イオン伊勢原店3F","7EQOqBpczvjY_cYYEQwVeg","35.397488 139.295528"
"タイトーFステーションイオン富士宮","静岡県 富士宮市 浅間町 1‐8　イオンモール富士宮内","XabR2zEJCSQrq3sELKqQQg","35.220471 138.611983"
"タイトーFステーションイオン新潟西","新潟県 新潟市西区 小新南 2-1-10　イオン新潟西店3F","YZOZPARktXVDDYIaK8By8g","37.868425 138.994755"
"タイトーFステーションイオン近江八幡","滋賀県 近江八幡市 鷹飼町南 3-7　イオン近江八幡SC2番街　イオン近江八幡店1F","KtAFGVY8_cbLzlaHlstbQg","35.1205108844 136.104013697"
"タイトーFステーションエルミこうのす","埼玉県 鴻巣市 本町 1-1-2　エルミこうのすショッピングモール3F","c4rOzoV5G7gm2pRD8FCeCA","36.060529 139.509419"
"タイトーFステーションオリナス錦糸町","東京都 墨田区 太平 4-1-2　オリナスモールB1F","RaZcGCcd8ZbHCrhGIY8zBA","35.70040074 139.8156488"
"タイトーFステーションオークワロマンシティ御坊","和歌山県 御坊市 湯川町財部 181　オークワロマンシティ御坊店3F","Pc92ZtoPg0q__CUY0AMbng","33.89779 135.148919"
"タイトーFステーションオークワ南紀","和歌山県 新宮市 佐野 3-11-19　スーパーセンターオークワ南紀店1F","ocAy2YuzkXMU1nx2-CguhA","33.675531 135.969701"
"タイトーFステーションクレアモール川越","埼玉県 川越市 新富町 2-1-13　カシーラ本川越1～4F","8CEnPqb5aBkOw7SsKua_Qg","35.913826 139.482922"
"タイトーFステーションセントポルタ大分","大分県 大分市 中央町 2-1-1","9uFeBfeZVBpUAd5TLmLynw","33.235422 131.606339"
"タイトーFステーションダイエー大宮","埼玉県 さいたま市大宮区 桜木町 2-3　大宮西口共同ビル6F","4NYTs1lGuQSlOowf6A8VQw","35.90689 139.621793"
"タイトーFステーションダイエー新松戸","千葉県 松戸市 新松戸 3-2-2　ダイエー新松戸店4F","OTFOlQO4tMNTTwPBkULEyw","35.825931 139.915446"
"タイトーFステーションダイエー武蔵村山","東京都 武蔵村山市 伊奈平 3-36-1　ダイエー武蔵村山店2F","kjN7yY7SlHDPY42s3KSA2w","35.735561 139.378917"
"タイトーFステーションダイエー湊川","兵庫県 神戸市兵庫区 荒田町 2-18-20　ダイエー湊川店3F","bq0I0OnkXFhJ1iheUyv8_A","34.68089 135.166265"
"タイトーFステーショントナリエクレオつくば","茨城県 つくば市 吾妻 1-7-1　トナリエクレオ3F","zfq1tR3AZ7kmi3TWjyeQqA","36.080507 140.111716"
"タイトーFステーショントナリエ宇都宮","栃木県 宇都宮市 駅前通り 1-4-6　トナリエ宇都宮B1F","LjLwBiEaiUDLta2klJd8Mg","36.560464 139.896997"
"タイトーFステーションニシムタ出水","鹿児島県 出水市 六月田町 347","cNLILpsFb_nI3XFR7zy1gQ","32.105248 130.345441"
"タイトーFステーションプレ葉ウォーク浜北","静岡県 浜松市浜北区 貴布祢 1200　プレ葉ウォーク浜北2F","-8KCkTT0Eu3-18y4Tf49_Q","34.797515 137.779389"
"タイトーFステーションマルナカ新倉敷","岡山県 倉敷市 玉島爪崎 981-1","ZouGoJC16xGHeTrxYsosew","34.562032 133.685448"
"タイトーFステーションモラージュ佐賀","佐賀県 佐賀市 巨勢町大字牛島 730　モラージュ佐賀北館2F","nEtP0pCIAYhJn6PtT53Xnw","33.251275 130.319679"
"タイトーFステーションヨークタウン坂東","茨城県 坂東市 辺田 1104-1　ヨークタウン坂東内","KadOrO0owGzE2g8IKFlOTA","36.037624 139.892245"
"タイトーFステーションラザウォーク甲斐双葉","山梨県 甲斐市 志田 616-1　ラザウォーク甲斐双葉　アミューズメント棟2F","wTVOCse8TBFn2s3FKKqRzA","35.6854146 138.4821881"
"タイトーFステーション三宮西館","兵庫県 神戸市中央区 三宮町 2-11-1　センタープラザ西館3F","ZMaLfVUyoNX54hkh4CRy9A","34.691116 135.191167"
"タイトーFステーション上越","新潟県 上越市 富岡 3524　J-MAXシアター内1F","38xbgYVvaTvabTSyLEmWvA","37.148192 138.259047"
"タイトーFステーション今治ワールドプラザ","愛媛県 今治市 東村 1-14-2　ワールドプラザ1F","EiRv9M_vOaGqO4sSSphR_A","34.042681 133.027878"
"タイトーFステーション住道","大阪府 大東市 赤井 1-4-3　ポップタウン住道オペラパーク南館3F","gO95kQCJIQR28SRK6Ygrag","34.708714 135.619641"
"タイトーFステーション八戸","青森県 八戸市 三日町 27","a5NyLtmiGQRrZS4uLih95w","40.509307 141.490581"
"タイトーFステーション前橋リリカ","群馬県 前橋市 国領町 2-14-1　前橋リリカ2F","uSwWhcZt0DVWYF088YOqUg","36.404624 139.068074"
"タイトーFステーション加古川","兵庫県 加古川市 平岡町新在家 615-1　イオン加古川店3F","3DqeEhy3Bvc6l8bqi5hkPA","34.749178 134.862549"
"タイトーFステーション北本","埼玉県 北本市 深井 6-87　HEY WORLD!! 1F","cg0CtedVLkhXa12f4YfHOg","36.053751 139.525469"
"タイトーFステーション吉祥寺JOY","東京都 武蔵野市 吉祥寺本町 1-8-23　河田ビル","jUVIY26MxD1BjaUmD0ahEQ","35.704189 139.57953"
"タイトーFステーション向ヶ丘遊園","神奈川県 川崎市多摩区 登戸 2718-1","ifuqpcbwK9lgu2zCURVyVQ","35.616468 139.565075"
"タイトーFステーション和歌山","和歌山県 和歌山市 小雑賀 805-1　セントラルシティ和歌山","51xbM3HjQlp12qbNhiIiTw","34.195364 135.183232"
"タイトーFステーション姫路","兵庫県 姫路市 駅前町 269","w1Yz33HMFc81gjS8rTEUoA","34.828657 134.691567"
"タイトーFステーション小山","栃木県 小山市 喜沢 1475　おやまゆうえんハーヴェストウォークSC棟","TWYl5BaiDMrpcdAX5fCnqw","36.33242739 139.8083774"
"タイトーFステーション山口メルクス","山口県 山口市 黒川 82-1　ハイパーモールメルクス山口内","EEoi04B15SwATkmzpQWSMw","34.13602471 131.4344859"
"タイトーFステーション川崎ルフロン","神奈川県 川崎市川崎区 日進町 1-11　川崎ルフロン10F","-dWCZuDUJQCn_j1PvR_3HA","35.529667 139.69649"
"タイトーFステーション市川妙典","千葉県 市川市 妙典 4-1-1　イオン市川妙典2番街2F","xDQGuPMEIwg-rxyCwE0ZrA","35.692538 139.926679"
"タイトーFステーション柏中央","千葉県 柏市 十余二 249-5　M.E.M.1F","dOxbnlEC8Y8yDdDe3og36w","35.88211355 139.9594688"
"タイトーFステーション燕三条","新潟県 燕市 井土巻 3-150　イオン県央店アメニティ棟1F","xlta14dMp9G6-c3r_3tWdg","37.651304 138.934961"
"タイトーFステーション盛岡南","岩手県 盛岡市 津志田町 2-1-77","qJChK7LLBnEYwhJNoOKizg","39.666612 141.157142"
"タイトーFステーション郡山アティ","福島県 郡山市 駅前 1-16-7　郡山アティ7F","AXfoSmK_0m9hl_3P20KbzA","37.397011 140.387506"
"タイトーFステーション郡山オリエントパーク","福島県 郡山市 郡山市安積町荒井字大久保 35-1","Y5fsE_KVXSsqmS737uyxJQ","37.374476 140.348755"
"タイトーFステーション野市","高知県 香南市 野市町西野 2007-1","lkoGvkWUJYng5eW2NTe6HA","33.559728 133.695831"
"タイトーFステーション静岡","静岡県 静岡市葵区 呉服町 2-5-4　ふしみや第2ビル","EXc5fyzsxUwqSegqaShX4A","34.974454 138.383243"
"タイトーFステーション高崎オーパ","群馬県 高崎市 八島町 46-1　高崎オーパ7F","NZA9FPLxh-yEP9rLsnd5yg","36.323081 139.011073"
"タイトーステーションBIGBOX高田馬場","東京都 新宿区 高田馬場 1-35-3　BIG BOX高田馬場6F","SNT5FrR1RNQH3ToEods_6g","35.71259101 139.704372"
"タイトーステーションBIGFUN平和島","東京都 大田区 平和島 1-1-1　BIGFAN平和島3F","tt1xG6-inRsGlqnHfENCYA","35.584355 139.740852"
"タイトーステーションゆめタウンみゆき","広島県 広島市南区 宇品西 6-7-14　ゆめタウンみゆき2F","h0DPRmb1DrRkJxmBukcogQ","34.358525 132.456593"
"タイトーステーションゆめタウン光の森","熊本県 菊池郡菊陽町 光の森 7-33-1　ゆめタウン光の森本館2F","mhrK2KBAZEcp8Lx0yCSCyw","32.860301 130.784305"
"タイトーステーションゆめタウン八代","熊本県 八代市 建馬町 3-1　ゆめタウン八代2F","9CsalrBNFau5fmO6yR4boA","32.506017 130.585106"
