shop,address,id,place
" ファミリーランドあそびのくにベイシア高萩モール","茨城県 高萩市 下手綱 字ヤワコ田1058　ベイシア高萩モール内","4mIP0L0sZxL8IaC9WhGs2Q","36.727917 140.7162"
"(株)星ヶ丘ボウル","愛知県 名古屋市千種区 星が丘元町 16-45","z5OX_6THtChMhXwmpYvXOw","35.161002 136.98629"
"ACグランド茜部","岐阜県 岐阜市 茜部大川 1-77","jPwNjqwZCslQP_vXF_Gg3w","35.3830496 136.7461932"
"AMジャムジャムつくば","茨城県 つくば市 竹園 1-9-2　デイズタウンつくば店B1F","MnF0TU6vrloupk3B4aHxgw","36.077729 140.115332"
"AMジャムジャムひたちなか本店","茨城県 ひたちなか市 田中後 40-2","AD-vAiaaPjood6cwovX3zQ","36.34759115 140.5803412"
"AMジャムジャム神栖","茨城県 神栖市 神栖 1-8-1","x7UM6O4U846Ela90n712GA","35.897995 140.644409"
"ASCH土岐","岐阜県 土岐市 土岐ヶ丘 4-5-1　スーパーセンターオークワテラスゲート土岐店1F","7uqrkxsEzpZ2j1t73iXhhw","35.333629 137.171203"
"ASCH美濃加茂","岐阜県 美濃加茂市 山手町 2-56-1　METRO SQUARE 2F","s27jO8khcJdqvIhhZwAFOg","35.4510436 137.0162809"
"ASCH豊田","愛知県 豊田市 青木町 4-57　豊田第一共同SC内","tXjX11ap6CGc0xhtL3dC7g","35.117636 137.180656"
"ASOBLEジアウトレット北九州","福岡県 北九州市八幡東区 東田 4-1-1","zzp7Kq07Kkhwu4BBJPC3AQ","33.872259 130.809234"
"ATCあそびマーレ","大阪府 大阪市住之江区 南港北 2-1-10　ITM棟5F","L7dJgrx2CjkQrGA8-aMYmw","34.638148 135.411364"
"Amusementcity G-STA","鹿児島県 薩摩川内市 向田本町 49","NYy3xJ0ulASfYkG20zvLJA","31.815807 130.307402"
"Asobi no すてぇじ！初生","静岡県 浜松市北区 初生町 626-1　ラフレ初生店B1F","fzA26z1ZUO-TBq-woZLnYg","34.763978 137.720534"
"Asobi no すてぇじ！輪之内","岐阜県 安八郡輪之内町 四郷新開 229　イオンタウン輪之内SC内","aOjktmOwa666SB27aPfXpw","35.293414 136.649747"
"Asobi no すてぇじ！養老","岐阜県 養老郡養老町 宇田字郷勺 561　イオンタウン養老SC内","55cQph4q6ms9OF4hZQLh4g","35.330538 136.564125"
"BIG BANG 函館","北海道 函館市 梁川町 9-3　パボッツ函館3F","UM3Do5bZM6dqGYnwniSEPg","41.7890391 140.7443806"
"BIG BANG 北見","北海道 北見市 中央三輪 7-446-1","CCc6opAOJGrvleAYeQKaSw","43.79697226 143.8514078"
"BIG BANG 室蘭","北海道 室蘭市 中島本町 2-8-1","BgY_GS2c9t7eqkjL14dthQ","42.353406 141.014425"
"BIG BANG 釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","43.009205 144.409919"
"BIG WAVE ゆめタウン三豊","香川県 三豊市 豊中町本山甲 22　ゆめタウン三豊2F","FV4dI7b1h3gMHzdTbO4qNw","34.145407 133.699438"
"BIG WAVE ゆめタウン丸亀","香川県 丸亀市 新田町 150　ゆめタウン丸亀3F","ltCN9O8JxLKwgblOZKDs6A","34.273511 133.785386"
"BOOKOFF SUPER BAZAAR荒川沖","茨城県 稲敷郡阿見町 住吉 2-8-7","2xvxyMMr0tS4G99taYKR_w","36.036082 140.173928"
"BOWL ARROW 松原","大阪府 松原市 大堀 1-1-9　ボウルアロー松原店","BcY-6_jRBjlX8_-T1aw1Dg","34.5848119 135.5718565"
"CLUBSEGA東梅田","大阪府 大阪市北区 堂山町 9-28　スプラウトビル1F","T5vuSDX1gnJMuykosNxuKg","34.703101 135.503956"
"COOP亘理","宮城県 亘理郡亘理町 逢隈高屋 字柴北100　COOP亘理店内ゲームコーナー","cEoFGluSv4B6P2akHbHYVQ","38.042524 140.877013"
"Cute静岡東急スクエア","静岡県 静岡市葵区 伝馬町 6-1　静岡東急スクエアB1F","U_HON3bsidoAT8maGt7LAA","34.974468 138.387451"
"DAIKEIEN","千葉県 市川市 大町 359","3wQf1KcN70aRQ1chhYdwcw","35.76245868 139.9691087"
"DCMダイキ貝塚","大阪府 貝塚市 石才 217　DCMダイキ貝塚店内ゲームコーナー","GN8kD31fXS7BMLJdsslmDQ","34.43329 135.360906"
"DeKKY401ファミリーパーク","新潟県 新潟市中央区 上近江 4-12-20　DeKKY401　2F","Gt-f80r9hJtoywvdDcYH1w","37.898297 139.029289"
"FASボウリングセンター","佐賀県 唐津市 栄町 2581-1","ybnyXjS4lM5At_7_2iI0iw","33.446105 129.9792689"
"FESTAコスモタウン佐伯","大分県 佐伯市 鶴岡西町 2-163　コスモタウン佐伯内","dwd8WDB14B522gnWkuLYAw","32.960948 131.866246"
"FESTAフリーモールわさだ","大分県 大分市 木上字鉾手 2102　フリーモールわさだ内","ZIaYCmI63rW-fi6bJd4PLg","33.18470402 131.5681136"
"FESTA上尾","埼玉県 上尾市 愛宕 3-1-40　バリュープラザ上尾愛宕店2F","MRrhW6AzYg-wIDAgVg2BiQ","35.964663 139.596778"
"FESTA人吉","熊本県 人吉市 宝来町 1307-1　HITOYOSHI-REX内","5BxqxCIOjYtxuioRvK52BA","32.212033 130.748296"
"FESTA古河","茨城県 古河市 松並 2-18-10　マーケットシティ古河内","mBw6fC91BMnfGnn4PLdjZw","36.20972339 139.7096372"
"FESTA山鹿","熊本県 山鹿市 方保田字鳥越 3468-1　MrMax山鹿店内","Eaw4zZX0nYf76GoJTtdXsQ","33.004694 130.723028"
