name,address,loc_id,latitude&longitude
"キャッツアイ新川","北海道 札幌市北区 新川二条 7-1-7","9dmK49ay3c7RIMpk-bBIiw","43.100736 141.310272"
"キャッツアイ清田","北海道 札幌市清田区 清田一条 1-20-1","hzWMFmJ3s3CoA1QAK-ThLA","43.002843 141.436304"
"namco札幌西町","北海道 札幌市西区 西町北 13-1　ワンダーシティ札幌","OIMN0bcMAaaIGsWB3Bhzeg","43.082401 141.283759"
"ラウンドワンスタジアム函館","北海道 函館市 西桔梗町 848-11","TZAv1Nmcw3ocBewGVGXf0Q","41.82459 140.71745"
"アミューズメントスペース遊ランド春光","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","Xaqa-MmVS9DlDnuG3vkdbw","43.798197 142.374036"
"ラウンドワンスタジアム旭川","北海道 旭川市 永山三条 1-4-7","_xdOEjTFE2umwHG2jRUxhw","43.786538 142.397245"
"アミューズメントスペース遊ランド西御料","北海道 旭川市 西御料五条 2-1","ZAWsW9j8yFJi-GcK1w2TqA","43.723872 142.368868"
"BIG BANG 室蘭","北海道 室蘭市 中島本町 2-8-1","BgY_GS2c9t7eqkjL14dthQ","42.353406 141.014425"
"BIG BANG 北見","北海道 北見市 中央三輪 7-446-1","CCc6opAOJGrvleAYeQKaSw","43.796972 143.851408"
"PALO苫小牧","北海道 苫小牧市 糸井 135-1　スーパーセンタートライアル苫小牧店G棟","EafmMMC_0glqXk9Ayjn-nw","42.613362 141.523915"
"BIG BANG 釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","43.009205 144.409919"
"ゲームフェスタミタマ","青森県 弘前市 駅前町 5-5","pSzUpBQEV_PdRVO4XGyYLw","40.598386 140.483546"
"ユーズランド下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田1F","mSS8_YA6PY90rt4wxxebBg","40.601457 141.417784"
"ラウンドワンスタジアム盛岡","岩手県 盛岡市 盛岡駅西通 2-10-35","lhPjYxW30376WQgOUSimRQ","39.700378 141.133194"
"G3ポロスイオンタウン北上","岩手県 北上市 里分 4地割20-1　イオンタウン北上内","OoqwswHGl9FzduDUPNjz3g","39.294853 141.133957"
"タイトーステーション仙台ベガロポリス","宮城県 仙台市太白区 西多賀 5-24-1　ベガロポリス内","J7nZ7JnGWXOxvZ_PDQYDAQ","38.219688 140.847988"
"THE 3RD PLANET BiVi仙台","宮城県 仙台市宮城野区 榴岡 2-1-25　BiVi仙台駅東口2F","fA6bCAJcgzMxPfkUxS3Ggw","38.261098 140.883586"
"GAME BANK 泉","宮城県 仙台市泉区 大沢 2-5-4","PxXWTR6SVhQUo1Cujad0lw","38.352736 140.877348"
"ゲームコーナー東部","宮城県 仙台市若林区 六丁の目中町 26-60　斎喜東部ビル","37uxHObyaKaWrP4st9eivg","38.250969 140.943894"
"タイトーステーション仙台名掛丁","宮城県 仙台市青葉区 中央 1-7-13","_3y6xX8FjWi2uiCPrpc4UQ","38.262066 140.879083"
"namcoイオンタウン大館西","秋田県 大館市 根下戸新町 18-121　イオンタウン大館西内","P8LLLeafeRhshAgg_izneQ","40.273745 140.530038"
"スーパーノバ天童","山形県 天童市 南町 1-5-26","eLRczaz4eFICkYJN_-X0MA","38.343025 140.373995"
"ラウンドワンスタジアム福島","福島県 福島市 太田町 14-18","LDywsn277_5pZQOrdMB2Mw","37.75261 140.455994"
"スーパーノバ福島","福島県 福島市 黒岩字中島 7-2","6i3ehAnuCJUABPy5MR3CYg","37.727675 140.466916"
"スーパーノバ会津インター","福島県 会津若松市 町北町上荒久田字宮下 142","4lo469GtpMgNw8-Q2Odn4w","37.518425 139.922048"
"namcoイオンタウン郡山","福島県 郡山市 松木町 2-88　イオンタウン郡山内","kssq9R-4FkV8sN1mDoESog","37.389365 140.390478"
"ピンクパンサー水戸けやき台","茨城県 水戸市 酒門町 3276-1","9XdXvZUDOxayyrQE9XdDsQ","36.338176 140.483361"
"ゲームメガ日立","茨城県 日立市 東多賀町 5-10-10","K1ayfp5EoDzSrYuog3IIAQ","36.548199 140.630536"
"ゲームパニックつくば","茨城県 土浦市 中村東 1-1-1　サンタスワールド内","XFQ_G4-d_K3a0Db8O1iZjg","36.046383 140.168223"
"ピンクパンサー土浦","茨城県 土浦市 木田余 4585-3","JaUX-5pTmloYJdl7Yd6cAA","36.106546 140.215198"
"GAME PADDOCK +1 古河本店","茨城県 古河市 小堤 1916-1","62bBOi7u402l3nF-bOVfCA","36.206738 139.75787"
"ピンクパンサー下妻","茨城県 下妻市 小島 884-10","vGQL5lljBuhfQ2Hh0SzFhw","36.170265 139.966531"
"アミューズビバ","茨城県 ひたちなか市 東大島 2-11-11","Cz3v_rXOoVSa-g4KlBeUqw","36.406406 140.531973"
"ゲームメガみらい平","茨城県 つくばみらい市 陽光台 1-14-1","w8lncyCFzu8UwI3wKHFvOQ","35.99562 140.040804"
"INTER PARK +1 宇都宮","栃木県 宇都宮市 インターパーク 6-5-1","UTPef_LlHWCAFOVSx28fIg","36.488066 139.905599"
"シーサイドリゾートアミューズメントパーク","栃木県 宇都宮市 睦町 7-3","gfET2IVPg9C2UVG3MZopRg","36.563139 139.860275"
"namco宇都宮","栃木県 宇都宮市 簗瀬町 1606-1　フェドラP＆D UTSUNOMIYA","_g-SvYkTDpr5BDyxNSVuLg","36.543863 139.891566"
"namcoフェドラP＆D佐野","栃木県 佐野市 高萩町 1340　フェドラP＆D SANO","ss8fdK3dVVcVRcqXiY5gug","36.297316 139.605647"
"タイトーFステーション小山","栃木県 小山市 喜沢 1475　おやまゆうえんハーヴェストウォークSC棟","TWYl5BaiDMrpcdAX5fCnqw","36.332427 139.808377"
"大田原スポーツランド","栃木県 那須塩原市 一区町 104-60","yCMkVwXEq6Ps9uiP3MnJlA","36.851887 139.993297"
"ゲームパークM-1","群馬県 前橋市 国領町 2-13-6","kSW1Y9BzWQvnPWpvE-eKzA","36.405221 139.065883"
"マトリクス前橋","群馬県 前橋市 小相木町 558-1","UoLg0OK5RhPqVhFYJdC2tg","36.37274 139.059073"
"インターワールド伊勢崎","群馬県 伊勢崎市 宮子町 3425-4","003QXzgM3C5ak69pcb4vzg","36.331521 139.162503"
"アピナ太田","群馬県 太田市 内ケ島町 907-1","7-QNLLbClqAm9Y6jjNHSLQ","36.282971 139.398425"
"タイトーステーション大宮","埼玉県 さいたま市大宮区 大門町 1-1","2Pq2E34sh4n2TEEzPzLKGg","35.907447 139.625597"
"ラウンドワン大宮","埼玉県 さいたま市大宮区 宮町 4-90-7","6nJT8mxp3yYvZkJ8AKgqRA","35.910828 139.62544"
"ウェアハウス三橋","埼玉県 さいたま市西区 三橋 6-955-1","lO2mhxIBCbIyCIbekHLzrg","35.915359 139.596062"
"namco熊谷","埼玉県 熊谷市 銀座 2-97　カルパビル1F","9fmJxA7NeGBEPVqVHdrtww","36.139183 139.394467"
"ゲームファクトリーマグマ草加","埼玉県 草加市 氷川町 2125-1","lYaYfFQKBCW3tncZw5P55w","35.828238 139.802514"
