mise,2023年7月14日(金)7:00～8月6日(日)23:59
キャッツアイ新札幌,北海道札幌市厚別区厚別東五条1　ホーマックスーパーデポ厚別東店横
ACグランド茜部,岐阜県岐阜市茜部大川1-77
ADXマミー岡崎,愛知県岡崎市井田新町6-1
AMジャムジャムつくば,茨城県つくば市竹園1-9-2　デイズタウンつくば店B1F
AMジャムジャムひたちなか本店,茨城県ひたちなか市田中後40-2
AMジャムジャム神栖,茨城県神栖市神栖1-8-1
Amusementcity G-STA,鹿児島県薩摩川内市向田本町49
BIG BANG 函館,北海道函館市梁川町9-3　パボッツ函館3F
BIG BANG 北見,北海道北見市中央三輪7-446-1
BIG BANG 室蘭,北海道室蘭市中島本町2-8-1
BIG BANG 釧路,北海道釧路郡釧路町木場2-1
DAIKEIEN,千葉県市川市大町359
FASボウリングセンター,佐賀県唐津市栄町2581-1
FESTA山鹿,熊本県山鹿市方保田字鳥越3468-1　MrMax山鹿店内
G-pala あべの,大阪府大阪市阿倍野区阿倍野筋3-10-1　あべのベルタ2F
G-pala 小倉,福岡県北九州市小倉南区上葛原1-14-1
G-stage七隈,福岡県福岡市城南区七隈8-4-8
G-stage浜の町,長崎県長崎市浜町2-26
G-stage飯塚,福岡県飯塚市枝国680-2
G3ポロスイオンタウン北上,岩手県北上市里分4地割20-1　イオンタウン北上内
GAME ALEX,山口県宇部市西宇部南3-5-53
GAME BANK 泉,宮城県仙台市泉区大沢2-5-4
GIGO マーケットスクエアささしま,愛知県名古屋市中村区平池町4-60-14　マーケットスクエアささしま1F
GiGO あべのアポロ3F,大阪府大阪市阿倍野区阿倍野筋1-5-31　アポロビル3F
GiGO イオンスタイル新浦安SC,千葉県浦安市入船1-4-1　イオンスタイル新浦安店4F
GiGO イオンタウン小郡,山口県山口市小郡前田町3-6
GiGO サントムーン柿田川,静岡県駿東郡清水町玉川61-2　サントムーン柿田川本館2F
GiGO センター南,神奈川県横浜市都筑区茅ケ崎中央3-25　aune港北1F
GiGO フェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1　フェニックスプラザ1F
GiGO 中津,大分県中津市沖代町1-2-16
GiGO 中筋,広島県広島市安佐南区中筋4-11-7　フタバ図書MEGA祇園中筋店2F　レンタルコーナー奥
GiGO 中間,福岡県中間市上蓮花寺3-1-1　プラザモールなかま1・2F
GiGO 今福,大阪府大阪市城東区今福東1-9-34
GiGO 仙台,宮城県仙台市青葉区中央2-5-5
GiGO 伊勢,三重県伊勢市中須町666
GiGO 倉敷,岡山県倉敷市西中新田535-2
GiGO 入間,埼玉県入間市東藤沢2-18
GiGO 八戸,青森県八戸市城下4-25-14
GiGO 八柱,千葉県松戸市日暮1-1-1　八柱駅第2ビル2F
GiGO 千葉,千葉県千葉市中央区富士見2-4-1
GiGO 南越谷ラクーン,埼玉県越谷市南越谷1-15-1　南越谷ラクーン2F
GiGO 名取,宮城県名取市飯野坂字土城堀57-1
GiGO 和泉,大阪府和泉市肥子町2-4-41
GiGO 大森,東京都大田区山王2-1-5　大森駅ララビル2F
GiGO 大阪第4ビル,大阪府大阪市北区梅田1-11-4　駅前第4ビルB1F
GiGO 太田,群馬県太田市西矢島町575
GiGO 姫路駅前,兵庫県姫路市駅前町254　姫路OSビルB1F
GiGO 宇都宮,栃木県宇都宮市東宿郷5-1-7
GiGO 安城,愛知県安城市百石町2-35-13
GiGO 小名浜,福島県いわき市小名浜林城字塚前18-1
GiGO 小山,栃木県小山市東城南1-1-18
GiGO 尾西,愛知県一宮市篭屋3-9-7　アソビックスびさい1F
GiGO 尾道,広島県尾道市新浜1-2-13
