area,locname,locaddress
"三重県","アソビックスゲームワールド","三重県三重郡朝日町小向181"
"三重県","アピナ四日市店","三重県四日市市泊小柳町４−３４"
"三重県","アピナ鈴鹿店","三重県鈴鹿市庄野羽山4-20-1イオンタウン鈴鹿2階"
"三重県","アミパラ鈴鹿店","三重県鈴鹿市西条町字東澤430-1"
"三重県","ゲームチャオ松阪店","三重県松阪市船江町７８０"
"三重県","ドリームキャンディ","三重県伊賀市小田町７１１−１"
"三重県","プレビ　トナリエ四日市","三重県四日市市安島１−３−３１トナリエ５階"
"三重県","ラウンドワンみえ川越インターチェンジ店","三重県三重郡川越町南福崎８５１−１"
"三重県","ラウンドワン津・高茶屋店","三重県津市高茶屋小森町２７７−８"
"三重県","ＧｉＧＯアドバンスモール松阪","三重県松阪市田村町２３５−１"
"三重県","ＧｉＧＯ久居","三重県津市久居明神町字風早２５３４−１"
"三重県","ＧｉＧＯ伊勢","三重県伊勢市中須町６６６"
"三重県","ＧｉＧＯ名張","三重県名張市希央台３番地１５"
"三重県","ＧｉＧＯ桑名","三重県桑名市大仲新田宮前１５８"
"三重県","ＧｉＧＯ生桑","三重県四日市市生桑町字川原崎２９９−１"
"京都府","あそＶＩＶＡゲームセンター","京都府福知山市字堀小字下高田２１４６−１"
"京都府","サープラ京都あそびタウン","京都府京都市中京区西ノ京栂尾町１０７"
"京都府","パルケ上賀茂店","京都府京都市北区上賀茂西河原１−１"
"京都府","プレイランドキング円町店","京都府京都市中京区西ノ京西円町40"
"京都府","ラウンドワン京都伏見店","京都府京都市伏見区下鳥羽平塚町１３１"
"京都府","ラウンドワン京都河原町店","京都府京都市中京区河原町通三条下ル山崎町２５０"
"京都府","ＧｉＧＯＭＯＭＯテラス京都伏見","京都府京都市伏見区桃山町山ノ下３２京都ＳＣビルＡＭ棟２Ｆ"
"京都府","ｎａｍｃｏらぽーる店","京都府舞鶴市南浜町２７－５ らぽーる３F"
"京都府","ｎａｍｃｏイオンモールＫＹＯＴＯ店","京都府京都市南区西九条鳥居口町1ｲｵﾝﾓｰﾙKYOTO SAKURA館4階"
"佐賀県","ラウンドワン佐賀店","佐賀県佐賀市兵庫北４−２−１"
"佐賀県","ＦＡＳボウリングセンター","佐賀県唐津市栄町２５８１−１ＦＡＳボウリングセンター"
"佐賀県","ＧｉＧＯ武雄","佐賀県武雄市武雄町富岡１２５１７−１"
"佐賀県","ｎａｍｃｏモラージュ佐賀店","佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀南館１Ｆ"
"兵庫県","アピナ姫路店","兵庫県姫路市東郷町１４５４−３姫路リオス２階"
"兵庫県","アミパラ垂水店","兵庫県神戸市垂水区名谷町字室山１４００−１８"
"兵庫県","アミューズスペースミール","兵庫県三田市対中町５−２１"
"兵庫県","ゲームアイビス太子店","兵庫県揖保郡太子町太田2149"
"兵庫県","タイトーＦステーション三宮西館店","兵庫県神戸市中央区三宮町２丁目１１−１センタープラザ西館"
"兵庫県","トップラン","兵庫県神戸市西区岩岡町古郷1474-1"
"兵庫県","プレイステーションネーブル西宮店","兵庫県西宮市両度町6-10"
"兵庫県","ラウンドワン三宮駅前店","兵庫県神戸市中央区小野柄通6-1-17"
"兵庫県","ラウンドワン伊丹店","兵庫県伊丹市昆陽７丁目２９"
"兵庫県","ラウンドワン加古川店","兵庫県加古川市尾上町安田325番6号"
"兵庫県","ラウンドワン姫路飾磨店","兵庫県姫路市飾磨区中島１−２５４"
"兵庫県","ラウンドワンＪＲ尼崎駅前店","兵庫県尼崎市潮江１−４−５プラストいきいき館４階"
"兵庫県","遊スペース アローズ","兵庫県神戸市西区丸塚２丁目９−１８"
"兵庫県","遊スペース マジカル","兵庫県神戸市中央区琴ノ緒町５−２−３"
"兵庫県","遊スペース　スプラ","兵庫県加古川市尾上町安田３５１−１"
"兵庫県","ＡＭスクエアＡＬＧＯ","兵庫県神戸市中央区下山手通1-1-8"
"兵庫県","Ｇ−ｐａｌａ花北店","兵庫県姫路市増位新町１−６　２Ｆ"
"兵庫県","ＧｉＧＯつかしん","兵庫県尼崎市塚口本町４−８−１つかしん内"
"兵庫県","ＧｉＧＯコロワ甲子園","兵庫県西宮市甲子園高潮町３−３Ｃｒｏｗａ甲子園３Ｆ"
"兵庫県","ＧｉＧＯフェニックスプラザ摩耶","兵庫県神戸市灘区味泥町６−１フェニックスプラザ１Ｆ"
"兵庫県","ＧｉＧＯ姫路駅前","兵庫県姫路市駅前町２５４姫路ＯＳビルＢ１Ｆ"
"兵庫県","ＧｉＧＯ明石","兵庫県明石市魚住町清水２４６４−１"
"兵庫県","ｎａｍｃｏ豊岡店","兵庫県豊岡市中陰字大工６１７３階"
"北海道","キャッツアイ宮の沢店","北海道札幌市手稲区西宮の沢５条２丁目１１−１５"
"北海道","キャッツアイ新川店","北海道札幌市北区新川二条７丁目１ー７"
"北海道","キャッツアイ新札幌店","北海道札幌市厚別区厚別東五条１ー２−１０"
"北海道","キャッツアイ東苗穂店","北海道札幌市東区東苗穂６条２丁目１−２５"
"北海道","キャッツアイ清田店","北海道札幌市清田区清田１条１−２０−１"
"北海道","タイトーステーション札幌狸小路２丁目店","北海道札幌市中央区南３条西２丁目−１４"
"北海道","ディノスパーク北見店","北海道北見市西三輪5丁目1番地16号"
"北海道","ディノスパーク帯広","北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階"
"北海道","ディノスパーク札幌手稲","北海道札幌市手稲区前田1条11丁目 西友手稲店 3階"
"北海道","ディノスパーク苫小牧","北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階"
"北海道","マキシム・ヒーロー","北海道札幌市北区北六条西6丁目1-1 WEST6"
"北海道","ラウンドワン函館店","北海道函館市西桔梗町８４８−１１"
"北海道","ラウンドワン旭川店","北海道旭川市永山三条１−４−７"
"北海道","ラウンドワン札幌すすきの店","北海道札幌市中央区南五条西3-6-1"
"北海道","ラウンドワン札幌北２１条店","北海道札幌市東区北二十一条東１−１−２１"
"北海道","ラウンドワン札幌白石本通店","北海道札幌市白石区本通１６丁目北１−５０"
"北海道","ＢＩＧＢＡＮＧ函館","北海道函館市梁川町９−３テキサスビル３Ｆ"
"北海道","ＢＩＧＢＡＮＧ北見店","北海道北見市中央三輪7丁目４４６−１"
"北海道","ＢＩＧＢＡＮＧ室蘭","北海道室蘭市中島本町２−８−１"
"北海道","ＢＩＧＢＡＮＧ釧路","北海道釧路郡釧路町木場２－１－１"
"千葉県","アミューズメントエース津田沼","千葉県船橋市前原西２−１５−１ファシービル"
"千葉県","アミューズメントパレスワンダーヴュー成田","千葉県成田市飯仲11-18"
"千葉県","イスカンダル木更津店","千葉県木更津市潮見４−１−２"
"千葉県","ウェアハウス南流山店","千葉県流山市南流山４−１６−６"
"千葉県","ゲームプラザセントラル浦安店","千葉県浦安市北栄1-16-15"
"千葉県","シルクハット津田沼","千葉県習志野市津田沼１−２−１十三ビル地下１階"
"千葉県","スタジオプリモ本八幡店","千葉県市川市八幡２−１５−１０パティオ５階"
"千葉県","スポーツウェーブ鉄腕24","千葉県千葉市中央区浜野町1025-59"
"千葉県","スポーツウェーブ鉄腕24稲毛長沼店","千葉県千葉市稲毛区長沼原町697番地"
"千葉県","タイトーFステーション柏中央","千葉県柏市十余二２４９−５"
"千葉県","タイトーステーション 船橋店","千葉県船橋市本町１−６−１"
"千葉県","タイトーＦステーション市川妙典店","千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F"
"千葉県","チャリオット五井店","千葉県市原市五井中央西２−１−２"
"千葉県","チャリオット辰巳店","千葉県市原市市原500-1"
"千葉県","パレパレ稲毛長沼店","千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４"
"千葉県","ラウンドワンアリオ柏店","千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０"
"千葉県","ラウンドワン市原店","千葉県市原市八幡北町３−５−１"
