BIGBANG北見店,北海道北見市中央三輪7丁目446−1
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 ｽｽﾞﾗﾝﾎﾞｳﾙ 1、2階
タイトーステーション 千歳店,北海道千歳市北栄2−12−5
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
ディノスパーク室蘭,北海道室蘭市東町4丁目31番2号 1階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1ー2−10
キャッツアイ清田店,北海道札幌市清田区清田1条1−20−1
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1ー7
キャッツアイ東苗穂店,北海道札幌市東区東苗穂6条2丁目1−25
キャッツアイ恵庭店,北海道恵庭市住吉町2丁目9−1
キャッツアイミュンヘン大橋店,北海道札幌市豊平区平岸1条23丁目801−1
ソユーゲームフィールド苗穂店,北海道札幌市東区東苗穂2条3-1-1 イオンモール札幌苗穂2F
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6ー30
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
BIGBANG函館,北海道函館市梁川町9−3テキサスビル3F
ディノスパーク函館昭和,北海道函館市昭和3丁目24-18ｹﾞｵ函館昭和店 1階
イオン千歳 キッズパーク,北海道千歳市栄町6−61
ラウンドワン函館店,北海道函館市西桔梗町848−11
ラウンドワン旭川店,北海道旭川市永山三条1−4−7
BIGBANG室蘭,北海道室蘭市中島本町2−8−1
ディノスパーク北見店,北海道北見市西三輪5丁目1番地16号
ラウンドワン札幌北21条店,北海道札幌市東区北二十一条東1−1−21
ラウンドワン札幌白石本通店,北海道札幌市白石区本通16丁目北1−50
BIGBANG釧路,北海道釧路郡釧路町木場2−1
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1 イオン札幌発寒SC3F
ギャラクシーゲート星が浦,北海道釧路市星が浦大通2−5
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通7−2−5ｲｵﾝﾓｰﾙ旭川駅前4F
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
イオン紋別 キッズパーク,北海道紋別市花園3-4-39
宝島 函館店,北海道函館市美原1−7−1 MEGAドン・キホーテ函館店2F
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
タイトーステーション札幌狸小路2丁目店,北海道札幌市中央区南3条西2丁目−14
ゲームランド新さっぽろ,北海道札幌市厚別区中央2条5丁目7−3 カテプリさっぽろ3階
キャッツアイ宮の沢店,北海道札幌市手稲区西宮の沢5条2丁目11−15
東急百貨店さっぽろアミューズパーク,北海道札幌市中央区北4条西2-1 9階
GiGO札幌駅西口,北海道札幌市北区北6条西6丁目1‐1
GiGO八戸,青森県八戸市城下4−25−14
GiGO弘前,青森県弘前市末広1−3−3
ユーズランド下田店,青森県上北郡おいらせ町中野平40−1イオンモール下田1F
ラウンドワン青森店,青森県青森市浜田3−1−1
ソユーゲームフィールド青森店,青森県青森市浜田1-14-1イトーヨーカドー青森店2F
ソユーゲームフィールド八戸店,青森県八戸市沼館4-7-112八戸ピアドゥB棟2F
ソユースペースファンタジーインフィニ,青森県弘前市城東北3−10−1さくら野百貨店弘前店4F
ゲームフィールド弘前樋の口店,青森県弘前市樋の口二丁目9−6イオンタウン弘前樋の口店
GiGO水沢,岩手県奥州市水沢区佐倉河字鎧田4−1
タイトーステーション 盛岡マッハランド店,岩手県盛岡市上堂1−2−38マッハランド内
ゲームランド盛岡店,岩手県盛岡市前潟4−7−1イオンモール盛岡2F
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F
アミューズメントゾーン北上店,岩手県北上市本通2-2-1さくら野北上店4F
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通2−10−35
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第16地割68−6 銀河モール1F
ソユーゲームフィールド釜石店,岩手県釜石市港町2−1−1イオンタウン釜石店3F
