ACT草津ACTION,滋賀県草津市野路町1161-1
AMパークイオンモール奈良登美ヶ丘店,奈良県生駒市鹿畑町３０２７イオンモール専門店街３階
ENTERTAINMENT FIELD ららぽーとEXPOCITY店,大阪府吹田市千里万博公園２−１ららぽーとＥＸＰＯＣＩＴＹ３Ｆ
G-stage浜町,長崎県長崎市浜町2-26
G3ポロス原町店,福島県南相馬市原町区北原本屋敷188
GiGOあべのアポロ 3F,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル3F
GiGOアクアウォーク大垣,岐阜県大垣市林町6-80-21アクアウォーク大垣2F
GiGOアドバンスモール松阪,三重県松阪市田村町２３５−１
GiGOイオンスタイル新浦安,千葉県浦安市入船１−４−１イオン新浦安店４Ｆ
GiGOイオンタウン刈谷,愛知県刈谷市東境町京和１
GiGOイオンタウン名西,愛知県名古屋市西区香呑町６−４９−１イオンタウン名西２Ｆ
GiGOイオンタウン金沢示野,石川県金沢市戸板西2-1
GiGOイオンモールむさし村山,東京都武蔵村山市榎1-1-3-2059
GiGOイオンモール与野,埼玉県さいたま市中央区本町西5-2-9イオンモール与野3F
GiGOイオンモール銚子,千葉県銚子市三崎町2-2660-1イオンモール銚子2F
GiGOイオンモール高岡,富山県高岡市下伏間３８３　イオンモール高岡２Ｆ２００１Ａ区画
GiGOギャラリエアピタ知立,愛知県知立市長篠町大山18-1ギャラリエアピタ1F
GiGOスマーク伊勢崎,群馬県伊勢崎市小保方町３６８番地スマーク伊勢崎３Ｆ北−３０２
GiGOベイドリーム清水,静岡県静岡市清水区駒越北8-1ベイドリーム清水2F
GiGO久居,三重県津市久居明神町字風早2534-1
GiGO仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
GiGO伊勢,三重県伊勢市中須町666
GiGO佐沼,宮城県登米市迫町佐沼字中江2-5-8
GiGO入間,埼玉県入間市東藤沢2-18
GiGO八戸,青森県八戸市城下4-25-14
GiGO八柱,千葉県松戸市日暮1-1-1八柱駅第2ﾋﾞﾙ2F
GiGO北山形,山形県山形市北町1-3-20
GiGO名取,宮城県名取市飯野坂字土城堀57-1
GiGO名張,三重県名張市希央台3番地15
GiGO大森,東京都大田区山王2-1-5大森駅ララビル2F
GiGO太田,群馬県太田市西矢島町575-1
GiGO安城,愛知県安城市百石町2-35-13
GiGO小名浜,福島県いわき市小名浜林城字塚前18-1
GiGO小山,栃木県小山市東城南1-1-18
GiGO尾西,愛知県一宮市篭屋3-9-7アソビックスびさい1F
GiGO岡崎,愛知県岡崎市上地3-50-4
GiGO岡谷,長野県岡谷市塚間町2-1-21
GiGO川口,埼玉県川口市東領家2-2-10
GiGO府中,東京都府中市西原町1-6-2フレスポ府中1F・2F
GiGO弘前,青森県弘前市末広1-3-3
GiGO所沢,埼玉県所沢市日吉町8-1
GiGO掛川,静岡県掛川市細田248
GiGO日光,栃木県日光市芹沼1448-1
GiGO日和田,福島県郡山市日和田町字西中島7-1
GiGO日立,茨城県日立市田尻町3-26-1
GiGO旭,千葉県旭市二字野場3150-1
GiGO春日井,愛知県春日井市岩野町4180
GiGO東名ボール,愛知県瀬戸市西原町2-114
GiGO松本,長野県松本市渚1-7-1なぎさライフサイト内
GiGO桑名,三重県桑名市大仲新田宮前158
GiGO武生,福井県越前市新町3-13-4
GiGO水戸,茨城県水戸市宮町1-7-44コムボックス310
GiGO水戸南,茨城県水戸市千波町２０１７−１
GiGO水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
GiGO池上,東京都大田区池上6-2-3松山ビル2Ｆ
GiGO池袋3号館,東京都豊島区東池袋1-1-4池袋北辰ビル
GiGO沼田,群馬県沼田市下久屋町1100-1
GiGO生桑,三重県四日市市生桑町字川原崎299-1
GiGO町田,東京都町田市原町田6-13-17アーバンミサワビルB1
GiGO白河,福島県白河市新高山1-1 メガステージ白河内
GiGO石岡,茨城県石岡市東大橋中峯1976-1
GiGO石巻,宮城県石巻市大街道東4-1-45
GiGO神戸umieサウスモール,兵庫県神戸市中央区東川崎町1-7-2ダイヤニッセイビル4F
GiGO神楽坂,東京都新宿区神楽坂2-11第2カグラヒルズ1F
GiGO福井,福井県福井市丸山1-410
GiGO福島,福島県福島市本内中井1-2
GiGO福生,東京都福生市福生1076-1
GiGO秋田,秋田県秋田市茨島1-1-16
GiGO稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
GiGO竹の塚,東京都足立区竹の塚6-8-6 ピーくんPlaza-B
GiGO籠原,埼玉県熊谷市美土里町1-169
GiGO米沢,山形県米沢市大字花沢字タナコ原177
GiGO船堀,東京都江戸川区船堀1-6-11
GiGO花園,埼玉県深谷市荒川359
GiGO袋井,静岡県袋井市川井1142-1
GiGO西葛西,東京都江戸川区西葛西5-1-14第一保志ビル
GiGO西那須野,栃木県那須塩原市南郷屋2-106-27
GiGO豊橋飯村,愛知県豊橋市飯村町字西山25-121
GiGO豊田,愛知県豊田市深田町1-65-1
GiGO赤羽,東京都北区赤羽1-7-9赤羽第一葉山ビルB1
GiGO赤羽駅前,東京都北区赤羽１−２−４
GiGO霞ヶ浦,茨城県稲敷市西代1473-1
GiGO館林,群馬県館林市小桑原町949-1
GiGO龍ヶ崎,茨城県龍ケ崎市藤ケ丘4-2-8
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１
M's PARK三郷店西館,愛知県尾張旭市南原山町赤土２０７
M's PARK刈谷店,愛知県刈谷市稲場町３−２０６
M's PARK豊田店,愛知県豊田市寿町３−２１、２２
SOYU BREMEN TOWN 鳴海店,愛知県名古屋市緑区鳴海町字伝治山3-9　アピタ鳴海店2F
SOYU GAME FIELD堺鉄砲町店,大阪府堺市堺区鉄砲町1番地イオンモール堺鉄砲町3F
SOYU ZAURUS WORLD 大森店　,東京都大田区大森北2-13-1イトーヨーカドー大森店3F
SOYUGameFieldみのおキューズモール店,大阪府箕面市西宿１−１５−３０みのおキューズモールＣ棟２階
SOYUGameField奈良橿原店,奈良県橿原市曲川町7-20-1　イオンモール橿原3F
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
THE 3RD PLANET BiVi京都二条店,京都府京都市中京区西ノ京栂尾町107
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
THE 3RD PLANET BiVi沼津店,静岡県沼津市大手町1-1-5
THE 3RD PLANET OZ浜松店,静岡県浜松市東区宮竹町322-1
THE 3RD PLANET ピボット福島店,福島県福島市栄町1-1 パワーシティーピボット内
THE 3RD PLANET フレスポ八潮店,埼玉県八潮市大瀬1-1-3 フレスポ八潮3F
THE 3RD PLANET 山口店,山口県山口市湯田温泉6-8-3
THE 3RD PLANET 島田店,静岡県島田市中溝町2531
THE 3RD PLANET 焼津店,静岡県焼津市八楠3-18-5
THE 3RD PLANET 静岡インター店,静岡県静岡市駿河区中野新田383-3
THE 3RD PLANET 高崎店,群馬県高崎市下和田町5-3-8 メディアメガ高崎内
○×△□（ラくトス）,東京都葛飾区新小岩１−４４−６
あそびのひろば　鹿嶋店,茨城県鹿嶋市宮中２９０−１ショッピングセンターチェリオ１階
あそＶＩＶＡゲームセンター,京都府福知山市字堀小字下高田２１４６−１
あそＶＩＶＡ阪急茨木店,大阪府茨木市永代町６−２スポーツプラザ茨木２Ｆ
あみぱらんど福山店,広島県福山市三吉町南２−８−２４
えの木,高知県高知市旭町3丁目100-3
アップルグランリバー大井川店,静岡県焼津市下江留１３２７
アップル島田店,静岡県島田市宝来町8-5
アップル新北街道店,静岡県静岡市葵区沓谷5-13-4
アドアーズ中野,東京都中野区中野５−５２−１５　ブロードウェイ１８５
アドアーズ亀戸店,東京都江東区亀戸５−２−６サンエービル１〜５階
アドアーズ仙川,東京都調布市仙川町２−２１−１２　ＶＩＣビル７
アドアーズ八王子,東京都八王子市東町１１−３　センチュリーＳＴビル
アドアーズ千葉,千葉県千葉市中央区富士見２−４−１５第一東和ビル
アドアーズ和光,埼玉県和光市本町３−５ワコーステーション３　１−３Ｆ
アドアーズ大和店Ａ館,神奈川県大和市大和東１−４−３大黒屋ビル１、２階
アドアーズ新小岩,東京都葛飾区新小岩１−４４−４　ＶＯＲＴ新小岩ビル
アドアーズ橋本,神奈川県相模原市緑区橋本３−３−１ＳＩＮＧビル２Ｆ
アドアーズ渋谷,東京都渋谷区宇田川町１３−１１　ＫＮ渋谷１ビル
アドアーズ町田,東京都町田市原町田６−２１−２５　大正堂第２ビル１〜４Ｆ
アドアーズ船橋,千葉県船橋市本町１−３１−２６セブン船橋Ｂ１Ｆ〜３Ｆ
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2階
アドアーズ藤沢北口,神奈川県藤沢市藤沢４６０−１　３〜４Ｆ
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　Ｐ・Ａ・Ｐ・Ａ上尾ＳＣ別棟
アピナ上田店,長野県上田市秋和３５９−１
アピナ上越インター店,新潟県上越市下門前１６６１
アピナ下館店,茨城県筑西市玉戸１０１２−３
アピナ伊那店,長野県伊那市大字西町５０９３
アピナ佐久インター店,長野県佐久市岩村田北１−１３−１
アピナ八王子みなみ野店,東京都八王子市みなみ野１−２−１アクロスモール３Ｆ
アピナ印西店,千葉県印西市原１−２ビッグホップガーデンモール印西２Ｆ
アピナ各務原店,岐阜県各務原市蘇原花園町２丁目９番地１
アピナ四日市店,三重県四日市市泊小柳町４−３４
アピナ塩尻店,長野県塩尻市広丘野村１７９４−１
アピナ大宮店,埼玉県さいたま市大宮区仲町１−１９
アピナ太田店,群馬県太田市内ケ島町９０７−１
アピナ姫路店,兵庫県姫路市東郷町１４５４−３姫路リオス２階
アピナ富山南店,富山県富山市堀川町３５５−３　マイプラザ内
アピナ富山新庄店,富山県富山市荒川３−２−１２
アピナ富山豊田店,富山県富山市豊田町２丁目１２−６６
アピナ小山店,栃木県小山市駅南町４−２７−１８
アピナ川越店,埼玉県川越市泉町１−１　ウニクス南古谷シネマ棟１Ｆ
アピナ市原店,千葉県市原市更級４丁目２番１号アクロスプラザ市原更級Ｆ棟１階
アピナ新利府　北館店,宮城県宮城郡利府町利府字新屋田前２２イオンモール新利府北館２
アピナ松本店,長野県松本市双葉１９−１０
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階
アピナ浜松店,静岡県浜松市中区葵西２−２７−１０
アピナ焼津店,静岡県焼津市道原５８５
アピナ磐田店,静岡県磐田市西貝塚横須賀道北3690イオンタウン磐田内
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル
アピナ豊橋,愛知県豊橋市藤沢町１４１ホリデイ・スクエアＡＭ棟１階
アピナ野々市バッティングスタジアム,石川県野々市市若松町５−５
アピナ野々市店,石川県野々市市白山町４−１イオンタウン野々市店内
アピナ野田七光台店,千葉県野田市七光台４−２
アピナ鈴鹿店,三重県鈴鹿市庄野羽山4-20-1イオンタウン鈴鹿2階
アピナ長岡店,新潟県長岡市堺東町２２
アピナ長野大橋店,長野県長野市若里７−９−１２
アピナ長野川中島店,長野県長野市川中島町御厨９６７−１
アピナ長野村山店,長野県長野市村山５０２−１
アピナ飯田店,長野県飯田市座光寺３７２８−１
アピナ鶴岡店,山形県鶴岡市文下字広野１−１
アピナＳ武蔵小山店,東京都品川区小山３−２３−３ＳＤビルＢ１Ｆ
アミパラがいな店,鳥取県米子市日ノ出町１−８−１３
アミパラここじゃ店,広島県東広島市西条町下見６−１０−１９
アミパラテクノランド店,岡山県岡山市北区大和町１−７−１２
アミパラ下関店,山口県下関市長府才川１−４２−４８
アミパラ丸亀店,香川県丸亀市飯野町西分字川縁甲５８４−１　ハローズ棟内
アミパラ久御山店,京都府久世郡久御山町森大内３３７ イオンタウン久御山内
アミパラ佐世保店,長崎県佐世保市大塔町１８−１５
アミパラ倉敷店,岡山県倉敷市西中新田624-1アミパラボウル1F
アミパラ光明池店,大阪府和泉市室堂町８２４−３６
アミパラ加古川店,兵庫県加古川市尾上町今福７１−２
アミパラ周南久米店,山口県周南市大字久米２８３４　イオンタウン周南久米
アミパラ垂水店,兵庫県神戸市垂水区名谷町字室山１４００−１８
アミパラ岡山店,岡山県岡山市北区青江１丁目１３−８
アミパラ広島店,広島県広島市西区西観音町3-17
アミパラ松山店,愛媛県松山市生石町６５５−１
アミパラ松江店,島根県松江市東朝日町２０３−１
アミパラ橿原店,奈良県橿原市十市町1222-1ツインゲート橿原１F
アミパラ津山店,岡山県津山市河辺１０００−１イオンモール津山２Ｆ
アミパラ神辺店,広島県福山市神辺町大字新道上字１−２−１
アミパラ鈴鹿店,三重県鈴鹿市西条町字東澤430-1
アミパラ高知店,高知県南国市篠原１９４−１
アミュージアム周南店,山口県下松市中央町21-3THEMALL周南3F
アミュージアム津島店,愛知県津島市大字津島字北新開351番地ﾖｼﾂﾞﾔ津島本店ｼﾈﾏ館2F
アミュージアム茂原店,千葉県茂原市高師１６１９−１
アミュージアム茶屋町店,大阪府大阪市北区茶屋町15-34
アミュージアムＯＳＣ店,東京都練馬区東大泉２−３４−１オズスタジオシティ２Ｆ
アミューズアイランド和田山,兵庫県朝来市和田山町枚田岡774番地イオン和田山店1F
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１
アミューズファクトリー常滑店,愛知県常滑市りんくう町2-20-3イオンモール常滑2F
アミューズメント　ＦＵＮＦＵＮ越谷店,埼玉県越谷市南荻島２７７０−１
アミューズメントエース市川,千葉県市川市市川１−９−１１サン市川ハイツ１階
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7
アミューズメントスペースASO：VIBA！,東京都渋谷区恵比寿1-10-5三恵エビスビル2F
アミューズメントスペースカプセル,東京都多摩市永山１−３−４ヒューマックスパビリオン永山B1-2F
アミューズメントゾーン北上店,岩手県北上市本通2-2-1さくら野北上店4F
アミューズメントパフェパレパレ田宮店,徳島県徳島市南田宮２−２−４６
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18
アミューズメントパークＭＧキスケ,愛媛県松山市宮田町４　キスケボックス内１階
アミューズメントパークＭＧジアス,広島県福山市柳津町１−７−６０
アミューズメントパークＭＧ伊予三島,愛媛県四国中央市中之庄町７５−１　アイランド三島内
アミューズメントパークＭＧ土庄,香川県小豆郡土庄町字半の池甲１３６０−１０
アミューズメントパークＭＧ大街道,愛媛県松山市大街道１−４−１７
アミューズメントパークＭＧ朝生田,愛媛県松山市朝生田町４−４−３２　第一自動車教習所ビル１階
アミューズメントパークＭＧ西条,愛媛県西条市新田字北新田２３５フジグラン西条 別棟
アミューズメントパークＭＧ須崎,高知県須崎市神田２５００−１マルナカ須崎店内 別棟
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ
アミューズメントプラザ　マルシン,愛知県刈谷市池田町4-609
アミューズメントプラザワイド,愛知県東海市名和町二番割上16-2
アミューズメントプレイス・ギミック・セガ,岡山県岡山市中区藤崎599-12
アミューズメントＣＵＥ奈良三条店,奈良県奈良市三条町478-1
アミューズメントＣＵＥ奈良大和高田店,奈良県大和高田市東中２−１１−１６
アル・プラザボウル鯖江,福井県鯖江市下河端町１６字下町６−１
アレックス,山口県宇部市西宇部南３−５−５３
イスカンダル木更津店,千葉県木更津市潮見４−１−２
イミグランデ日吉店３,神奈川県横浜市港北区日吉2−2−4
イミグランデ本厚木店,神奈川県厚木市中町３−２−１
イミグランデ溝口店,神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4
ウェアハウス一橋学園店,東京都小平市学園東町一丁目４番３９号平山ビル３Ｆ
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
ウェアハウス上尾店,埼玉県上尾市二ツ宮１０４４
ウェアハウス保木間店,東京都足立区保木間１−１−１９
ウェアハウス入谷店,東京都足立区入谷７−８−１１
ウェアハウス南流山店,千葉県流山市南流山４−１６−６
ウェアハウス四万十店,高知県四万十市右山五月町８−１３アピアさつき２F
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉３−３−６３
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３
ウェアハウス越谷店,埼玉県越谷市南荻島８４１−１
エンジョイパラダイス,大阪府東大阪市長栄寺７−３パーラーメトロ永和店２Ｆ
エースレーン堅田,滋賀県大津市今堅田２−４０−１０
エースレーン守山,滋賀県守山市播磨田町２３１−４ＡＣＴ守山３番館内
エースレーン愛知川,滋賀県愛知郡愛荘町長野２００
エースレーン近江八幡店,滋賀県近江八幡市出町７３６アクトビル１Ｆ
オークランドボウル春日井,愛知県春日井市鳥居松町３−１１　１階ゲームコーナー
