ACT草津ACTION,滋賀県草津市野路町1161-1
AMパークイオンモール奈良登美ヶ丘店,奈良県生駒市鹿畑町3027イオンモール専門店街3階
ENTERTAINMENT FIELD ららぽーとEXPOCITY店,大阪府吹田市千里万博公園2−1ららぽーとEXPOCITY3F
G-stage浜町,長崎県長崎市浜町2-26
G3ポロス原町店,福島県南相馬市原町区北原本屋敷188
G3ポロス横手南店,秋田県横手市婦気大堤字中田4-1ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ横手南店2階
GiGO池袋3号館,東京都豊島区東池袋1-1-4池袋北辰ビル
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク6−5−1
M's PARK刈谷店,愛知県刈谷市稲場町3−206
M's PARK豊田店,愛知県豊田市寿町3−21、22
SOYU BREMEN TOWN 鳴海店,愛知県名古屋市緑区鳴海町字伝治山3-9 アピタ鳴海店2F
SOYU GAME FIELD堺鉄砲町店,大阪府堺市堺区鉄砲町1番地イオンモール堺鉄砲町3F
SOYU ZAURUS WORLD 大森店 ,東京都大田区大森北2-13-1イトーヨーカドー大森店3F
SOYUGameFieldみのおキューズモール店,大阪府箕面市西宿1−15−30みのおキューズモールC棟2階
SOYUGameField奈良橿原店,奈良県橿原市曲川町7-20-1 イオンモール橿原3F
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り1丁目4番6号トナリエ宇都宮
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
THE 3RD PLANET BiVi沼津店,静岡県沼津市大手町1-1-5
THE 3RD PLANET OZ浜松店,静岡県浜松市東区宮竹町322-1
THE 3RD PLANET ピボット福島店,福島県福島市栄町1-1 パワーシティーピボット内
THE 3RD PLANET フレスポ八潮店,埼玉県八潮市大瀬1-1-3 フレスポ八潮3F
THE 3RD PLANET 山口店,山口県山口市湯田温泉6-8-3
THE 3RD PLANET 島田店,静岡県島田市中溝町2531
THE 3RD PLANET 焼津店,静岡県焼津市八楠3-18-5
THE 3RD PLANET 長野大通り店,長野県長野市大字鶴賀権堂町1506−3長電権堂第2ビル1F
THE 3RD PLANET 高崎店,群馬県高崎市下和田町5-3-8 メディアメガ高崎内
あそびのひろば 鹿嶋店,茨城県鹿嶋市宮中290−1ショッピングセンターチェリオ1階
あそVIVAゲームセンター,京都府福知山市字堀小字下高田2146−1
あそVIVA阪急茨木店,大阪府茨木市永代町6−2スポーツプラザ茨木2F
あみぱらんど福山店,広島県福山市三吉町南2−8−24
えの木,高知県高知市旭町3丁目100-3
ゆめシティ ゆめパーク,山口県下関市伊倉新町3−1−1
ゆめタウン三豊ビックウェーブ,香川県三豊市豊中町本山甲22
ゆめタウン高松店ゆめランド,香川県高松市三条町字中所608ー1 ゆめタウン高松店2F
アソビックスゲームワールド,三重県三重郡朝日町小向181
アップルグランリバー大井川店,静岡県焼津市下江留1327
アップル島田店,静岡県島田市宝来町8-5
アップル新北街道店,静岡県静岡市葵区沓谷5-13-4
アドアーズ上野アメ横,東京都台東区上野4−9−14上野K.KビルB1〜4階
アドアーズ中野,東京都中野区中野5−52−15 ブロードウェイ185
アドアーズ亀戸店,東京都江東区亀戸5−2−6サンエービル1〜5階
アドアーズ仙川,東京都調布市仙川町2−21−12 VICビル7
アドアーズ千葉,千葉県千葉市中央区富士見2−4−15第一東和ビル
アドアーズ和光,埼玉県和光市本町3−5ワコーステーション3 1−3F
アドアーズ大和店A館,神奈川県大和市大和東1−4−3大黒屋ビル1、2階
アドアーズ新小岩,東京都葛飾区新小岩1−44−4 VORT新小岩ビル
アドアーズ橋本,神奈川県相模原市緑区橋本3−3−1SINGビル2F
アドアーズ町田,東京都町田市原町田6−21−25 大正堂第2ビル1〜4F
アドアーズ船橋,千葉県船橋市本町1−31−26セブン船橋B1F〜3F
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2階
アドアーズ藤沢北口,神奈川県藤沢市藤沢460−1 3〜4F
アピナ上尾店,埼玉県上尾市緑丘3−3−11−2 P・A・P・A上尾SC別棟
アピナ上田店,長野県上田市秋和359−1
アピナ上越インター店,新潟県上越市下門前1661
アピナ下館店,茨城県筑西市玉戸1012−3
アピナ伊那店,長野県伊那市大字西町5093
アピナ佐久インター店,長野県佐久市岩村田北1−13−1
アピナ八王子みなみ野店,東京都八王子市みなみ野1−2−1アクロスモール3F
アピナ印西店,千葉県印西市原1−2ビッグホップガーデンモール印西2F
