店名,場所,"緯度と経度",GMAPでみる,ぐーぐるの住所
タイトーステーション 札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４,"43.0572768 141.3554876",https://www.google.com/search?q=43.0572768+141.3554876,日本、〒060-0063 北海道札幌市中央区南３条西２丁目１４ ニコービル
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１,"43.7971302 143.8513641",https://www.google.com/search?q=43.7971302+143.8513641,日本、〒090-0837 北海道北見市中央三輪７丁目４４６−１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ,"41.7886857 140.7442538",https://www.google.com/search?q=41.78868569999999+140.7442538,日本、〒040-0015 北海道函館市梁川町９−３
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１,"43.0084679 144.4096347",https://www.google.com/search?q=43.00846790000001+144.4096347,日本、〒088-0622 北海道釧路郡釧路町木場２丁目
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１ー２−１０,"43.0459015 141.4754493",https://www.google.com/search?q=43.0459015+141.4754493,日本、〒004-0005 北海道札幌市厚別区厚別東５条１丁目２−１０ ＤＣＭホーマック厚別東店
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１,"43.002841 141.4365746",https://www.google.com/search?q=43.002841+141.4365746,日本、〒004-0841 北海道札幌市清田区清田１条１丁目20−１
キャッツアイ新川店,北海道札幌市北区新川二条７丁目１ー７,"43.1006922 141.3104251",https://www.google.com/search?q=43.1006922+141.3104251,日本、〒001-0922 北海道札幌市北区新川２条７丁目１−７ キャッツアイ新川店
キャッツアイ篠路店,北海道札幌市北区篠路１条４丁目６ー３０,"43.1407429 141.3572542",https://www.google.com/search?q=43.1407429+141.3572542,日本、〒002-8021 北海道札幌市北区篠路１条４丁目６−３０ キャッツアイ篠路店
キャッツアイ宮の沢店,北海道札幌市手稲区西宮の沢５条２丁目１１−１５,"43.0964146 141.2573289",https://www.google.com/search?q=43.0964146+141.2573289,日本、〒006-0005 北海道札幌市手稲区西宮の沢５条２丁目１１−１５
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F,"43.7638193 142.3571323",https://www.google.com/search?q=43.7638193+142.3571323,日本、〒070-0030 北海道旭川市宮下通７丁目２−５
ラウンドワン旭川店,北海道旭川市永山三条１−４−７,"43.7865143 142.3973062",https://www.google.com/search?q=43.7865143+142.3973062,日本、〒079-8413 北海道旭川市永山３条１丁目４−７ ラウンドワンスタジアム旭川店
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1,"43.0541562 141.3539927",https://www.google.com/search?q=43.0541562+141.3539927,日本、〒064-0805 北海道札幌市中央区南５条西３丁目６−１ 東宝公楽会館
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ,"40.601399 141.420122",https://www.google.com/search?q=40.601399+141.420122,日本、〒039-2112 青森県上北郡おいらせ町中野平４０−１ イオンモール下田 1f
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ,"40.606733 140.4960515",https://www.google.com/search?q=40.606733+140.4960515,日本、〒036-8092 青森県弘前市城東北３丁目１０−１
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１,"39.2946971 141.1339658",https://www.google.com/search?q=39.2946971+141.1339658,日本、〒024-0023 岩手県北上市里分４地割２０−１
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５,"39.7003745 141.1330948",https://www.google.com/search?q=39.7003745+141.1330948,日本、〒020-0045 岩手県盛岡市盛岡駅西通２丁目１０−３５ ラウンドワンスタジアム盛岡店
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４,"38.3527708 140.8775793",https://www.google.com/search?q=38.35277079999999+140.8775793,日本、〒981-3137 宮城県仙台市泉区大沢２丁目５−４
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５,"38.2609645 140.87568",https://www.google.com/search?q=38.2609645+140.87568,日本、〒980-0021 宮城県仙台市青葉区中央２丁目３−２５ ＭＣ中央ビル
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１,"38.3280017 140.9756875",https://www.google.com/search?q=38.3280017+140.9756875,日本、〒981-0111 宮城県宮城郡利府町加瀬新前谷地５５−１
スーパーノバ仙台一番町,宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階,"38.2640486 140.8713059",https://www.google.com/search?q=38.2640486+140.8713059,日本、〒980-0811 宮城県仙台市青葉区一番町４丁目５−１３ サンシャインビル １階
