m,b,第4弾「CHUNITHM オリジナルグッズプレゼントキャンペーン」参加店舗一覧2020年6月25日(木) ～9月2日(水)
ソユーゲームフィールド旭川駅前,北海道旭川市宮下通7-2-5イオンモール旭川駅前4F
アミューズメントスペース遊ランド春光,北海道旭川市春光1条7丁目2-25
遊ランド西御料,北海道旭川市西御料5条2丁目
ディノスパーク旭川,北海道旭川市大雪通5丁目496番地5号 1階
SOYUGameField旭川西,北海道旭川市緑町23-2161-3イオンモール旭川西3F
ディノスパーク音更,北海道河東郡音更町木野大通西15丁目2番地12ビッグマートB棟
イオン岩見沢 キッズ・パーク,北海道岩見沢市大和4条8
BIGBANG釧路,北海道釧路郡釧路町木場2-1
タイトーイオンモール釧路昭和,北海道釧路市昭和中央4-18-1 イオンモール釧路昭和2F
キャッツアイ恵庭,北海道恵庭市住吉町2丁目9-1
キャッツアイ新札幌,北海道札幌市厚別区厚別東五条1-1-10
ゲームランド新さっぽろ,北海道札幌市厚別区中央2条5丁目7-3 カテプリさっぽろ3階
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
キャッツアイ手稲,北海道札幌市手稲区前田3条10丁目2-21
キャッツアイ清田,北海道札幌市清田区清田1条1-20-1
プラボ札幌西町(ワンダーシティ札幌),北海道札幌市西区西町北13丁目1番(旧国道五号線沿い)
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1-1イオン札幌発寒SC3F
タイトーステーション 札幌狸小路2丁目,北海道札幌市中央区南3条西2丁目-14
ラウンドワン札幌すすきの,北海道札幌市中央区南五条西3-6-1
namco札幌エスタ,北海道札幌市中央区北5条西2-1-1札幌エスタ9F
ソユーゲームフィールド苗穂,北海道札幌市東区東苗穂2条3-1-1 イオンモール札幌苗穂2F
キャッツアイ東苗穂,北海道札幌市東区東苗穂6条2丁目1-25
アドアーズ札幌北42条,北海道札幌市東区北42条東7-1 2階
ラウンドワン札幌北21条,北海道札幌市東区北二十一条東1-1-21
ラウンドワン札幌白石本通,北海道札幌市白石区本通16丁目北1-50
キャッツアイミュンヘン大橋,北海道札幌市豊平区平岸1条23丁目801-1
キャッツアイ篠路,北海道札幌市北区篠路1条4丁目6-30
キャッツアイ新川,北海道札幌市北区新川二条7丁目1-7
マキシム・ヒーロー,北海道札幌市北区北六条西6丁目1-2
アミューズメントスペース遊ランド士別,北海道士別市大通東8
BIGBANG室蘭,北海道室蘭市中島本町2-8-1
ナムコワンダーパーク小樽(プラボ),北海道小樽市築港11-5ウィングベイ小樽5番街3階
イオン千歳 キッズパーク,北海道千歳市栄町6-61
アピナ新千歳空港,北海道千歳市美々1292番地33新千歳空港国内線旅客ターミナルビル4F
タイトーステーション 千歳,北海道千歳市北栄2-12-5
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 スズランボウル 1､2階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ドリームタウン白樺 1階
BIGBANG滝川,北海道滝川市東町1-8-14
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 イオンモール苫小牧 2階
ラウンドワン函館,北海道函館市西桔梗町848-11
BIGBANG函館,北海道函館市梁川町9-3テキサスビル3F
遊ランド富良野,北海道富良野市弥生町5番50号
ディノスパーク北見,北海道北見市西三輪5丁目1番地16号
BIGBANG北見,北海道北見市中央三輪7丁目446-1
ゲームランドつがる柏,青森県つがる市柏稲盛幾世41イオンモールつがる柏2F
namcoエルムの街ショッピングセンター,青森県五所川原市大字唐笠柳字藤巻517-1エルムの街SC C棟2F
ゲームフェスタミタマ,青森県弘前市駅前町5-5
ソユースペースファンタジーインフィニ,青森県弘前市城東北3-10-1さくらの弘前店4F
セガ弘前,青森県弘前市末広1-3-3
ユーズランド下田,青森県上北郡おいらせ町中野平40-1イオンモール下田1F
ソユーゲームフィールド青森,青森県青森市浜田1-14-1イトーヨーカドー青森店2F
ラウンドワン青森,青森県青森市浜田3-1-1
ソユーゲームフィールド八戸,青森県八戸市沼館4-7-112八戸ピアドゥB棟2F
セガ八戸,青森県八戸市城下4-25-14
BINGO一関,岩手県一関市山目字中野92-1
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1
セガ水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
ソユーファミリーゲームフィールド花巻,岩手県花巻市高木第16地割68-6 銀河モール1F
ソユーゲームフィールド釜石,岩手県釜石市港町2-1-1イオンタウン釜石店
アミューズメントスペースBAGIBAGI,岩手県宮古市新川町3-17
タイトーステーション 盛岡マッハランド,岩手県盛岡市上堂1-2-38マッハランド内
ラウンドワン盛岡,岩手県盛岡市盛岡駅西通2-10-35
ゲームランド盛岡,岩手県盛岡市前潟4-7-1イオンモール盛岡2F
サンシャイン,岩手県盛岡市大通2-7-21ソレントビル1F
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1イオンモール盛岡南1F
チャットタウン北上,岩手県北上市北鬼柳19地割71番地外 パルSC
アミューズメントゾーン北上,岩手県北上市本通2-2-1さくら野北上店4F
G3ポロスイオンタウン北上,岩手県北上市里分四地割20番地1
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地55-1
アミューズメントパークサムワン,宮城県柴田郡村田町沼辺時牡丹山42-1
プラサカプコン石巻,宮城県石巻市茜平4丁目104番地 イオン石巻ショッピングセンター2F
セガワールド石巻,宮城県石巻市大街道東4-1-45
ラウンドワン仙台苦竹,宮城県仙台市宮城野区苦竹1-7-10
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
THE 3RD PLANET BiVi仙台,宮城県仙台市宮城野区榴岡2-1-25
