店名,場所
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７－２－５ｲｵﾝﾓｰﾙ旭川駅前４F
アドアーズ狸小路,北海道札幌市中央区南三条西４－１２－１アルシュビル５・６Ｆ
ディノスパーク札幌中央,北海道札幌市中央区南3条西1丁目8番地ｽｶﾞｲﾋﾞﾙ1,2地下1階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
ディノスパーク室蘭,北海道室蘭市東町4丁目31番3号 1階
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
ディノスパークノルベサ,北海道札幌市中央区南3条西5丁目1番地1号NORBESA 5階
ディノスパーク音更,北海道河東郡音更町木野大通西15丁目2番地12ﾋﾞｯｸﾞﾏｰﾄB棟
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６－１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９－３テキサスビル３Ｆ
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２－８－１
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２－１
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
キャッツアイ清田店,北海道札幌市清田区清田１－１－２０－１
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
キャッツアイ手稲店,北海道札幌市手稲区前田３条１０丁目２－２１
ラウンドワン旭川店,北海道旭川市永山三条１－４－７
ラウンドワン函館店,北海道函館市西桔梗町８４８－１１
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１－１－２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１－５０
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
ソユースペースファンタジーインフィニ,青森県弘前市城東北３－１０－１さくらの弘前店４Ｆ
ユーズランド下田店,青森県上北郡おいらせ町中野平４０－１イオンモール下田１Ｆ
ラウンドワン青森店,青森県青森市浜田３－１－１
セガ八戸,青森県八戸市城下4-25-14
セガ弘前,青森県弘前市末広1-3-3
アミューズメントスペースBAGIBAGI,岩手県宮古市新川町3-17
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２－１０－３５
セガ水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５－１
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
仙台レジャーランド一番町店,宮城県仙台市青葉区一番町4-3-27ガリレア一番町ビル1Ｆ～3Ｆ
タイトーステーション 仙台名掛丁店,宮城県仙台市青葉区中央１－７－１３
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２－５－４
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１－７－１０
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
セガワールド石巻,宮城県石巻市大街道東4-1-45
セガワールド古川,宮城県大崎市古川城西15
プラサカプコン大曲店,秋田県大仙市和合字坪立１７７イオン大曲ＳＣ２Ｆ
ラウンドワン秋田店,秋田県秋田市卸町１－１－２
セガ秋田,秋田県秋田市茨島1-1-16
スーパーノバ天童,山形県天童市南町1-5-26
セガワールド北山形,山形県山形市北町1-3-20
セガ米沢,山形県米沢市大字花沢字タナコ原177
ＡＧスクエア庄内店,山形県東田川郡三川町猪字大堰端326番地6
ＳＯＹＵ　Ｅ－ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
タイトーアミューズメントシティ郡山,福島県郡山市南2-38　フレスポ郡山店
ラウンドワン福島店,福島県福島市太田町14-18
ラウンドワン郡山店,福島県郡山市向河原町４－５５
セガ小名浜,福島県いわき市小名浜林城字塚前18-1
セガワールド福島,福島県福島市本内中井1-2
セガワールド勿来,福島県いわき市勿来町四沢字鍵田13
セガワールド白河,福島県白河市新高山1-1 メガステージ白河内
セガ日和田,福島県郡山市日和田町字西中島7-1
アミューズビバ,茨城県ひたちなか市東大島２－１１－１１
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
ピンクパンサー下妻店,茨城県下妻市小島884-10
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
ピンクパンサーつくば店,茨城県つくば市小野崎177-2
ピンクパンサー日立店,茨城県日立市東多賀町5-10-10
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1
ピンクパンサー那珂店,茨城県那珂市菅谷1593-8
アピナ下館店,茨城県筑西市玉戸１０１２－３
ユーズランド水戸内原店,茨城県水戸市内原２－１イオンモール水戸内原２Ｆ
ジャムジャム神栖店,茨城県神栖市神栖1-8-1
セガ霞ヶ浦,茨城県稲敷市西代1473-1
セガ水戸,茨城県水戸市宮町1-7-44コムボックス310
セガ石岡,茨城県石岡市東大橋中峯1976-1
セガワールド龍ヶ崎,茨城県龍ケ崎市藤ケ丘4-2-8
セガ水戸南,茨城県水戸市千波町２０１７－１
セガワールド日立,茨城県日立市田尻町3-26-1
ドラマ足利店,栃木県足利市朝倉町244-1
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６－５－１
ゲーム＆ビリヤード　遊ｉｎｇ,栃木県宇都宮市石井町下平出境2707-4
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７－３
アピナ小山店,栃木県小山市駅南町４－２７－１８
