TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号トナリエ宇都宮
アソビクル新宮店,福岡県糟屋郡新宮町三代９９９番地１
アドアーズ新小岩店,東京都葛飾区新小岩1-44-4 VORT新小岩 B1F～3F
アドアーズ橋本店,神奈川県相模原市緑区橋本3-3-1 SING橋本2階
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2階
アミパラ鈴鹿店,三重県鈴鹿市西条町字東澤430-1
アミューズメントエース市川,千葉県市川市市川１−９−１１サン市川ハイツ１階
アミューズメントスペースASO：VIBA！,東京都渋谷区恵比寿1-10-5三恵エビスビル2F
アミューズメントパフェパレパレ田宮店,徳島県徳島市南田宮２−２−４６
アミューズメントパークＭＧ総社,岡山県総社市門田１８７　天満屋ハピータウンリブ総社店内３階
キャッツアイ八千代店,千葉県八千代市緑が丘西２丁目１３番地３　ｉｓｍ緑ヶ丘内
キャッツアイ新川店,北海道札幌市北区新川二条７丁目１ー７
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１ー２−１０
キャッツアイ篠路店,北海道札幌市北区篠路１条４丁目６ー３０
キャッツアイ苫小牧駅前店,北海道苫小牧市木場町1丁目3
クラブセガ名張,三重県名張市希央台3番地15
ゲームランド千葉ニュータウン店,千葉県印西市中央北３丁目２番イオンモール千葉ＮＴモール棟３階
コミ丸アリババ大垣店,岐阜県大垣市池尻町940-1
サンゲームス天文館店,鹿児島県鹿児島市千日町5-6
サープラ京都あそびタウン,京都府京都市中京区西ノ京栂尾町１０７
スタジオプリモ本八幡店,千葉県市川市八幡２−１５−１０パティオ５階
スタジオプリモ沼津,静岡県沼津市大手町３−４−１沼津ラクーン３Ｆ
スーパーノバ仙台一番町,宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
スーパーノバ福島,福島県福島市黒岩字中島7-2
セガワールド久居,三重県津市久居明神町字風早2534-1
セガワールド桑名,三重県桑名市大仲新田宮前158
セガ福井,福井県福井市丸山1-410
ソユーゲームフィールド幕張店,千葉県千葉市花見川区幕張町４−４１７−２５　ＩＹ幕張店２Ｆ
タイトーＦステーションゆめタウン別府店,大分県別府市楠町３８２−７
タイトーＦステーションアスピア明石店,兵庫県明石市東仲ノ町６‐１　アスピア明石店南館３階
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１
ディノスパーク北見店,北海道北見市西三輪5丁目1番地16号
ディノスパーク室蘭,北海道室蘭市東町4丁目31番2号 1階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 ｽｽﾞﾗﾝﾎﾞｳﾙ 1、2階
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
パスカランド大川店,福岡県大川市上巻４３０−１ゆめタウン２F
パルケ上賀茂店,京都府京都市北区上賀茂西河原１−１
プラサカプコン京都店,京都府京都市右京区西院追分町２５−１イオンモール京都五条３Ｆ
プラサカプコン大分店,大分県大分市公園通り西２−１パークプレイス大分２Ｆ
プラサカプコン徳重店,愛知県名古屋市緑区元徳重１丁目５０５ビルズウォーク徳重２階
プラサカプコン石巻店,宮城県石巻市茜平4丁目104番地 ｲｵﾝ石巻ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F
マンガ倉庫飯塚,福岡県飯塚市楽市７６９ー１
ムトス相模原店,神奈川県相模原市中央区中央２−１−５
ラウンドワン所沢店,埼玉県所沢市東町５丁目２２　６階
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088
楽市楽座イオンモール四條畷店,大阪府四條畷市砂4-3-2イオンモール四條畷店3F
楽市楽座イオンモール大阪ドーム店,大阪府大阪市西区千代崎３−１３−１
楽市楽座黒崎店,福岡県北九州市八幡西区桜ヶ丘町１−３フレスポ黒崎２階
ＡＤＸマミー春日井Ｒ１５５出川店,愛知県春日井市不二ヶ丘１丁目５番地
ＧｉＧＯあべのアポロ３階,大阪府大阪市阿倍野区阿倍野筋１−５−３１アポロビル３Ｆ
ＧｉＧＯアクアウォーク大垣,岐阜県大垣市林町６ー８０ー２１アクアウォーク大垣２Ｆ
ＧｉＧＯアドバンスモール松阪,三重県松阪市田村町２３５−１
ＧｉＧＯイオンスタイル新浦安,千葉県浦安市入船１−４−１イオンスタイル新浦安４Ｆ
ＧｉＧＯイオンタウン刈谷,愛知県刈谷市東境町京和１
ＧｉＧＯイオンタウン名西,愛知県名古屋市西区香呑町６−４９−１イオンタウン名西２Ｆ
ＧｉＧＯイオンタウン金沢示野,石川県金沢市戸板西２−１
ＧｉＧＯイオンモールむさし村山,東京都武蔵村山市榎１−１−３−２０５９
ＧｉＧＯイオンモール与野,埼玉県さいたま市中央区本町西５ー２−９イオンモール与野３Ｆ
ＧｉＧＯイオンモール銚子,千葉県銚子市三崎町２−２６６０−１イオンモール銚子２Ｆ
ＧｉＧＯイオンモール高岡,富山県高岡市下伏間３８３　イオンモール高岡２Ｆ２００１Ａ区画
ＧｉＧＯイオンモール高松,香川県高松市香西本町1-1 イオンモール高松2F　227-2
ＧｉＧＯイト—ヨーカドー古淵,神奈川県相模原市南区古淵３−１３−３３イトーヨーカドー３Ｆ
ＧｉＧＯエイスクエア草津,滋賀県草津市西渋川１−２３−２３エイスクエアＳＡＲＡ南館２階
ＧｉＧＯギャラリエアピタ知立,愛知県知立市長篠町大山１８−１ギャラリエアピタ１Ｆ
ＧｉＧＯコロワ甲子園,兵庫県西宮市甲子園高潮町３−３Ｃｒｏｗａ甲子園３Ｆ
ＧｉＧＯサントムーン柿田川,静岡県駿東郡清水町玉川６１−２サントムーン柿田川２Ｆ
ＧｉＧＯスマーク伊勢崎,群馬県伊勢崎市小保方町３６８番地スマーク伊勢崎３Ｆ北−３０２
ＧｉＧＯダイナシティ小田原,神奈川県小田原市中里２９６−１ダイナシティイーストモール３Ｆ
ＧｉＧＯビバモール寝屋川,大阪府寝屋川市寝屋南２−２２−２ビバモール寝屋川モール棟２Ｆ
ＧｉＧＯベイドリーム清水,静岡県静岡市清水区駒越北８−１ベイドリーム清水２Ｆ
ＧｉＧＯマリエとやま,富山県富山市桜町１丁目１番６１号マリエとやま４Ｆ
ＧｉＧＯ今福,大阪府大阪市城東区今福東１−９−３４
ＧｉＧＯ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前１番５３−１
ＧｉＧＯ伊勢,三重県伊勢市中須町６６６
ＧｉＧＯ佐沼,宮城県登米市迫町佐沼字中江２−５−８
ＧｉＧＯ入間,埼玉県入間市東藤沢２−１８
ＧｉＧＯ八戸,青森県八戸市城下４−２５−１４
ＧｉＧＯ八柱,千葉県松戸市日暮１−１−１八柱駅第２ビル２Ｆ
ＧｉＧＯ北山形,山形県山形市北町１−３−２０
ＧｉＧＯ南町田ＧＢＰシアター,東京都町田市鶴間３−４−１ワンダーシアター１階Ｈ１０３区画
ＧｉＧＯ名取,宮城県名取市飯野坂字土城堀５７−１
ＧｉＧＯ和泉,大阪府和泉市肥子町２−４−４１
