mise,basyo
ラウンドワン旭川店,北海道旭川市永山三条１−４−７
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７−３ カテプリさっぽろ３階
キャッツアイ宮の沢,北海道札幌市手稲区西宮の沢５条２丁目１１−１５
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1-1イオン札幌発寒SC3F
タイトーステーション 札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
namco札幌エスタ店,北海道札幌市中央区北5条西2-1-1札幌エスタ9F
ソユーゲームフィールド苗穂店,北海道札幌市東区東苗穂2条3-1-1　イオンモール札幌苗穂２Ｆ
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１−５０
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
マキシム・ヒーロー,北海道札幌市北区北六条西6丁目1-2
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１
タイトーステーション 千歳店,北海道千歳市北栄２−１２−５
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 ｽｽﾞﾗﾝﾎﾞｳﾙ 1、2階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
ＢＩＧＢＡＮＧ滝川,北海道滝川市東町１−８−１４
ラウンドワン函館店,北海道函館市西桔梗町８４８−１１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１
ｎａｍｃｏエルムの街ショッピングセンター,青森県五所川原市大字唐笠柳字藤巻517-1ｴﾙﾑの街SC　本棟2階
ゲームフェスタミタマ店,青森県弘前市駅前町5-5
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ
ゲームフィールド弘前樋の口店,青森県弘前市樋の口２－９－６ イオンタウン弘前樋の口店
セガ弘前,青森県弘前市末広1-3-3
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ
